"","year","county","municip_number","municip","production_final","feed_kg","efcr_region","reference_efcr","efcr_score","prop_below_lice","lice_score","proportion_biomass_bad_momb","momb_score","mean_sustain_score","seaarea","prod_area","maxprod_area","prod_prop_area","aqua_score_area"
"264",2013,"Troms",1936,"Karlsoy",5962707.08656,8371690,1.19861379343724,1.19861379343724,1,1,1,0,1,1,4796.75,1243.07230657424,188225.773299608,0.00660415566254887,0.660415566254887
"265",2014,"Troms",1936,"Karlsoy",11929520.3944,16356752,1.15775147187438,1.15775147187438,1,0.995555555555556,0.995555555555556,0,1,0.998516318295801,4796.75,2487.00065552718,113206.377398058,0.0219687327930506,2.19361381861411
"266",2015,"Troms",1936,"Karlsoy",12123801.2952,14312989,1.2839955626662,1.26086687479015,0.981986940961054,1,1,0,1,0.993959229557207,4796.75,2527.50326683692,134594.780267383,0.0187786128244783,1.86651755351715
"267",2016,"Troms",1936,"Karlsoy",9222044.35968,13299613,1.22930794511588,1.20884798699381,0.983356523315933,0.992424242424242,0.992424242424242,NA,0.961352657004831,0.978957187917543,4796.75,1922.56097559389,181158.02372089,0.0106126183985976,1.03892990639331
"268",2017,"Troms",1936,"Karlsoy",21065916.40224,24682109,1.19277276120228,1.18855767041856,0.996466140977705,0.994505494505495,0.994505494505495,0,1,0.996987954118796,4796.75,4391.70613482879,213718.888359355,0.0205489845494817,2.04870900652066
"269",2018,"Troms",1936,"Karlsoy",13297196.43264,19241721,1.18247659218115,1.15415056810372,0.976045171409957,1,1,0,0.961352657004831,0.979003436085971,4796.75,2772.1262172596,127051.292751092,0.0218189532529238,2.13608302064115
"270",2005,"Troms",1936,"Karlsoy",2799942.25208,4191541,1.3283143565941,1.17623110307944,0.885506580005196,NA,0.996497058497058,NA,0.961352657004831,0.946637086580307,4796.75,583.716527248658,53364.7520671726,0.0109382411542718,1.03545447385927
"271",2006,"Troms",1911,"Kvaefjord",3804012.60768,6322215,1.42578423069247,1.2919824295079,0.906155645220182,0.916666666666667,0.916666666666667,NA,0.864675813828356,0.895548650135641,189.03,20123.8565713379,107012.283562146,0.188051837615924,16.8409569332468
"272",2007,"Troms",1911,"Kvaefjord",6382082.93944,8608643,1.38309255533183,1.37651251017426,0.995242512778917,1,1,NA,0.864675813828356,0.951175692943665,189.03,33762.275508861,135874.461723506,0.248481392901961,23.634946107713
"273",2008,"Troms",1911,"Kvaefjord",4981052.88144,7996891,1.38507178070716,1.28814565946673,0.930020867805897,NA,0.93798162621692,NA,0.864675813828356,0.910290712986119,189.03,26350.594516426,164736.639884867,0.159955881914565,14.5606353794333
"274",2009,"Troms",1911,"Kvaefjord",10547070.69176,15762545,1.37566470803413,1.24147946044329,0.902457883227525,NA,0.93798162621692,NA,0.864675813828356,0.901207633857743,189.03,55795.7503663969,181971.835391191,0.306617506200622,27.6326037262424
"275",2010,"Troms",1911,"Kvaefjord",6655710.8128,8833742,1.27685660916767,1.27685660916767,1,0.909090909090909,0.909090909090909,0,0.864675813828356,0.922897654091993,189.03,35209.812266836,88338.494172657,0.39857836152401,36.7847034822339
"276",2011,"Troms",1911,"Kvaefjord",4447501.30096,8221621,1.29053062695158,1.29053062695158,1,0.888888888888889,0.888888888888889,0,0.833333333333333,0.904805872198302,189.03,23528.0183090515,121986.97818055,0.192873195647394,17.4512800011414
"277",2012,"Troms",1911,"Kvaefjord",10331908.51424,14781940,1.26235960493737,1.26235960493737,1,0.88,0.88,0.5,0.833333333333333,0.901779742998413,189.03,54657.5068202931,125686.780826335,0.434870767322896,39.2157648793964
"278",2013,"Troms",1911,"Kvaefjord",5090322.3548,5407194,1.19861379343724,1.19861379343724,1,0.962962962962963,0.962962962962963,0,0.833333333333333,0.929271845263244,189.03,26928.6481235783,188225.773299608,0.143065679324981,13.2946907820165
"279",2014,"Troms",1911,"Kvaefjord",6848434.64736,7758987,1.15775147187438,1.15775147187438,1,1,1,0,1,1,189.03,36229.3532632915,113206.377398058,0.320029260682914,32.0029260682914
"280",2015,"Troms",1911,"Kvaefjord",8421461.26272,14046420,1.2839955626662,1.26086687479015,0.981986940961054,0.920677361853832,0.920677361853832,0,0.844027441485069,0.913811420184099,189.03,44550.9245237264,134594.780267383,0.331000388241078,30.2471934860067
"281",2016,"Troms",1911,"Kvaefjord",9329943.89624,7964791,1.22930794511588,1.20884798699381,0.983356523315933,1,1,NA,0.864675813828356,0.947373948726567,189.03,49356.9480835846,181158.02372089,0.272452453773888,25.8114356972011
"282",2017,"Troms",1911,"Kvaefjord",3625572.532,6077058,1.19277276120228,1.18855767041856,0.996466140977705,0.769230769230769,0.769230769230769,0.467917675544794,0.844027441485069,0.864885441947851,189.03,19179.8790244935,213718.888359355,0.0897434904875779,7.76178384322916
"283",2018,"Troms",1911,"Kvaefjord",7714368.11904,8161545,1.18247659218115,1.15415056810372,0.976045171409957,1,1,0,0.864675813828356,0.945020166202592,189.03,40810.2847116331,127051.292751092,0.32121109378702,30.3550961236726
"284",2005,"Troms",1911,"Kvaefjord",3879889.60472,6324663,1.3283143565941,1.17623110307944,0.885506580005196,1,1,NA,0.864675813828356,0.91484678881015,189.03,20525.2584495583,53364.7520671726,0.384622014615981,35.1870214977121
"285",2006,"Troms",1943,"Kvaenangen",4518507.93528,6804103,1.42578423069247,1.2919824295079,0.906155645220182,0.979166666666667,0.979166666666667,NA,0.950617283950617,0.94483297611973,573.01,7885.56558398632,107012.283562146,0.0736884152126975,6.96232446509594
"286",2007,"Troms",1943,"Kvaenangen",7439655.31424,6679453,1.38309255533183,1.37651251017426,0.995242512778917,0.955555555555556,0.955555555555556,NA,0.950617283950617,0.966934054011042,573.01,12983.4650603654,135874.461723506,0.0955548592110396,9.23952473973849
"287",2008,"Troms",1943,"Kvaenangen",6530944.10016,7864161,1.38507178070716,1.28814565946673,0.930020867805897,1,1,NA,0.950617283950617,0.959767706878798,573.01,11397.6092915656,164736.639884867,0.069186850596997,6.64033049436458
