"year","county","municip_number","municip","production_final","feed_kg","gapfilled"
2008,"Troms",1911,"Kvaefjord",4981052.88144,7996891,"n"
2009,"Troms",1911,"Kvaefjord",10547070.69176,15762545,"n"
2010,"Troms",1911,"Kvaefjord",6655710.8128,8833742,"n"
2011,"Troms",1911,"Kvaefjord",4447501.30096,8221621,"n"
2012,"Troms",1911,"Kvaefjord",10331908.51424,14781940,"n"
2013,"Troms",1911,"Kvaefjord",5090322.3548,5407194,"n"
2014,"Troms",1911,"Kvaefjord",6848434.64736,7758987,"n"
2015,"Troms",1911,"Kvaefjord",8421461.26272,14046420,"n"
2016,"Troms",1911,"Kvaefjord",9329943.89624,7964791,"n"
2017,"Troms",1911,"Kvaefjord",3625572.532,6077058,"n"
2018,"Troms",1911,"Kvaefjord",7714368.11904,8161545,"n"
2005,"Troms",1911,"Kvaefjord",3879889.60472,6324663,"n"
2006,"Troms",1943,"Kvaenangen",4518507.93528,6804103,"n"
2007,"Troms",1943,"Kvaenangen",7439655.31424,6679453,"n"
2008,"Troms",1943,"Kvaenangen",6530944.10016,7864161,"n"
2009,"Troms",1943,"Kvaenangen",7192775.1968,7590092,"n"
2010,"Troms",1943,"Kvaenangen",9879592.9308,8905568,"n"
2011,"Troms",1943,"Kvaenangen",5162135.87504,7331794,"n"
2012,"Troms",1943,"Kvaenangen",6121205.08008,8982562,"n"
2013,"Troms",1943,"Kvaenangen",8499304.75024,9242326,"n"
2014,"Troms",1943,"Kvaenangen",18548790.46224,13570362,"n"
2015,"Troms",1943,"Kvaenangen",3112151.87376,12472272,"n"
2016,"Troms",1943,"Kvaenangen",11099254.16088,13210280,"n"
2017,"Troms",1943,"Kvaenangen",9206061.91488,13259890,"n"
2018,"Troms",1943,"Kvaenangen",10464365.34728,12547636,"n"
2005,"Troms",1943,"Kvaenangen",5281759.44304,5990889,"n"
2006,"Finnmark",2017,"Kvalsund",2650313.8552,3351825,"n"
2007,"Finnmark",2017,"Kvalsund",1110143.96656,1063448,"n"
2008,"Finnmark",2017,"Kvalsund",1368693.0252,2578180,"n"
2009,"Finnmark",2017,"Kvalsund",1098162.73784,1886000,"n"
2010,"Finnmark",2017,"Kvalsund",2342031.61528,3625320,"n"
2011,"Finnmark",2017,"Kvalsund",5400289.9472,7361502,"n"
2012,"Finnmark",2017,"Kvalsund",10030254.06288,12594007,"n"
2013,"Finnmark",2017,"Kvalsund",4543936.03312,6954919,"n"
2014,"Finnmark",2017,"Kvalsund",11938492.25184,15741414,"n"
2015,"Finnmark",2017,"Kvalsund",749074.850959999,3459880,"n"
2016,"Finnmark",2017,"Kvalsund",4920101.39888,8274068,"n"
2017,"Finnmark",2017,"Kvalsund",8139034.65176,11819120,"n"
2018,"Finnmark",2017,"Kvalsund",11467788.48656,17230170,"n"
2005,"Finnmark",2017,"Kvalsund",1179536.88512,375500,"n"
2009,"Finnmark",2022,"Lebesby",213434.25544,341332,"n"
2010,"Finnmark",2022,"Lebesby",1403040.30304,2305411,"n"
2011,"Finnmark",2022,"Lebesby",3026219.10336,4333581,"n"
2012,"Finnmark",2022,"Lebesby",4922801.82536,6654867,"n"
2013,"Finnmark",2022,"Lebesby",7355236.92728,8285045,"n"
2014,"Finnmark",2022,"Lebesby",13133285.91776,13709732,"n"
2015,"Finnmark",2022,"Lebesby",7190053.78104,11412365,"n"
2016,"Finnmark",2022,"Lebesby",13464744.53328,14925048,"n"
2017,"Finnmark",2022,"Lebesby",8371221.012,10166457,"n"
2018,"Finnmark",2022,"Lebesby",2548895.04032,3710586,"n"
2005,"Finnmark",2022,"Lebesby",713323.98192,1281592,"n"
2006,"Troms",1931,"Lenvik",1912726.32144,1600900,"n"
2007,"Troms",1931,"Lenvik",1688515.04976,1415500,"n"
2008,"Troms",1931,"Lenvik",6343303.92608,6117555,"n"
2009,"Troms",1931,"Lenvik",4955299.48888,5794339,"n"
2010,"Troms",1931,"Lenvik",2910738.94072,4317062,"n"
2011,"Troms",1931,"Lenvik",6697635.82616,9863448,"n"
2012,"Troms",1931,"Lenvik",6614727.79064,6372602,"n"
2013,"Troms",1931,"Lenvik",7866369.78136,8822258,"n"
2014,"Troms",1931,"Lenvik",11623165.63256,10846978,"n"
2015,"Troms",1931,"Lenvik",21408580.96224,19233270,"n"
2016,"Troms",1931,"Lenvik",8659940.69696,11707287,"n"
2017,"Troms",1931,"Lenvik",13533981.38152,15067438,"n"
2018,"Troms",1931,"Lenvik",15768052.87552,17404959,"n"
