"","year","kommunenr","kommune","biomchange_salmon","biomchange_trout","feed_used_kg","uttak_laks_kg","uttak_regnb_kg","lost_final_kg","production_final","efcr","county"
"202",2008,1943,"Kvaenangen",603426.024,161684.507,7864161,6029369,0,0,6794479.531,1.15743390853112,"Troms"
"203",2008,1804,"Bodo",0,0,59185,0,0,0,0,0,"Nordland"
"204",2008,1811,"Bindal",379113.154,0,5964456,5387504.75,0,0,5766617.904,1.03430747437987,"Nordland"
"205",2008,1812,"Somna",5195940.689,0,5954146,0,0,0,5195940.689,1.14592262621572,"Nordland"
"206",2008,1813,"Bronnoy",0,0,6000699,5409490.5,0,92196,5317294.5,1.128524854134,"Nordland"
"207",2008,1815,"Vega",105736.694,0,4660000,3482592.75,0,20046,3568283.444,1.30595006622462,"Nordland"
"208",2008,1816,"Vevelstad",3557468.27,0,5327425,0,1448410.066,0,5005878.336,1.06423381521033,"Nordland"
"209",2008,1818,"Heroy",1471290.997,0,6969246,4465202.625,0,37398,5899095.622,1.18140922720578,"Nordland"
"210",2008,1820,"Alstahaug",5621499.068,0,6619678,491896.125,0,834,6112561.193,1.08296306425214,"Nordland"
"211",2008,1824,"Vefsn",0,0,3250500,3153319.875,0,21702,3131617.875,1.03796188735192,"Nordland"
"212",2008,1827,"Donna",1707102.34,0,3032825,2208700.375,103,8850,3907055.715,0.776243089740531,"Nordland"
"213",2008,1828,"Nesna",0,0,1373650,1580982.75,0,8520,1572462.75,0.873566003391813,"Nordland"
"214",2008,1833,"Rana",278587.587,0,195635,0,0,0,278587.587,0.702238754090648,"Nordland"
"215",2008,1834,"Luroy",0,0,12073795,13364141.25,0,61680,13302461.25,0.907636171464134,"Nordland"
"216",2008,1835,"Traena",1536937.751,0,1702700,0,0,0,1536937.751,1.10785228542415,"Nordland"
"217",2008,1836,"Rodoy",4159110.168,0,17302653,7358989.311,3789546.02,175194,15132451.499,1.14341374238955,"Nordland"
