Year,average_prop_locs_below_thr,Komnum_new,Kommune_new,replaced
2010,NA,1849,Hamaroy,0.9975490196078431
2011,NA,1849,Hamaroy,0.9975490196078431
2012,0.8666666666666667,2004,Hammerfest,0.8666666666666667
2013,0.9506410256410256,2004,Hammerfest,0.9506410256410256
2014,1,2004,Hammerfest,1
2015,0.9688679245283018,2004,Hammerfest,0.9688679245283018
2016,0.9663461538461539,2004,Hammerfest,0.9663461538461539
2017,0.9935897435897436,2004,Hammerfest,0.9935897435897436
2018,0.9935897435897436,2004,Hammerfest,0.9935897435897436
2019,1,2004,Hammerfest,1
2004,NA,2004,Hammerfest,0.9674626572327044
2005,NA,2004,Hammerfest,0.9674626572327044
2006,NA,2004,Hammerfest,0.9674626572327044
2007,NA,2004,Hammerfest,0.9674626572327044
2008,NA,2004,Hammerfest,0.9674626572327044
2009,NA,2004,Hammerfest,0.9674626572327044
2010,NA,2004,Hammerfest,0.9674626572327044
2011,NA,2004,Hammerfest,0.9674626572327044
2012,0.8871794871794871,1903,Harstad,0.8871794871794871
2013,0.988562091503268,1903,Harstad,0.988562091503268
2014,0.9800653594771241,1903,Harstad,0.9800653594771241
2015,0.9889937106918238,1903,Harstad,0.9889937106918238
2016,0.9845467032967032,1903,Harstad,0.9845467032967032
2017,0.9711996336996337,1903,Harstad,0.9711996336996337
2018,0.9789072039072039,1903,Harstad,0.9789072039072039
2019,1,1903,Harstad,1
2004,NA,1903,Harstad,0.9724317737194055
2005,NA,1903,Harstad,0.9724317737194055
2006,NA,1903,Harstad,0.9724317737194055
2007,NA,1903,Harstad,0.9724317737194055
2008,NA,1903,Harstad,0.9724317737194055
2009,NA,1903,Harstad,0.9724317737194055
2010,NA,1903,Harstad,0.9724317737194055
2011,NA,1903,Harstad,0.9724317737194055
2014,1,2015,Hasvik,1
2015,1,2015,Hasvik,1
2016,1,2015,Hasvik,1
2017,1,2015,Hasvik,1
2018,0.9795918367346939,2015,Hasvik,0.9795918367346939
2019,1,2015,Hasvik,1
2004,NA,2015,Hasvik,0.9965986394557823
2005,NA,2015,Hasvik,0.9965986394557823
2006,NA,2015,Hasvik,0.9965986394557823
2007,NA,2015,Hasvik,0.9965986394557823
2008,NA,2015,Hasvik,0.9965986394557823
2009,NA,2015,Hasvik,0.9965986394557823
2010,NA,2015,Hasvik,0.9965986394557823
2011,NA,2015,Hasvik,0.9965986394557823
2012,NA,2015,Hasvik,0.9965986394557823
2013,NA,2015,Hasvik,0.9965986394557823
2012,0.8718954248366013,1818,Heroy,0.8718954248366013
2013,0.9740384615384615,1818,Heroy,0.9740384615384615
2014,0.8108974358974359,1818,Heroy,0.8108974358974359
2015,0.9566037735849057,1818,Heroy,0.9566037735849057
2016,0.9217948717948717,1818,Heroy,0.9217948717948717
2017,0.9706959706959707,1818,Heroy,0.9706959706959707
2018,0.9826007326007326,1818,Heroy,0.9826007326007326
2019,1,1818,Heroy,1
2004,NA,1818,Heroy,0.9360658338686224
2005,NA,1818,Heroy,0.9360658338686224
2006,NA,1818,Heroy,0.9360658338686224
2007,NA,1818,Heroy,0.9360658338686224
2008,NA,1818,Heroy,0.9360658338686224
2009,NA,1818,Heroy,0.9360658338686224
2010,NA,1818,Heroy,0.9360658338686224
2011,NA,1818,Heroy,0.9360658338686224
2012,0.9532520325203252,1917,Ibestad,0.9532520325203252
2013,1,1917,Ibestad,1
2014,0.9961538461538462,1917,Ibestad,0.9961538461538462
2015,0.9951923076923077,1917,Ibestad,0.9951923076923077
2016,0.9519230769230769,1917,Ibestad,0.9519230769230769
2017,0.9644230769230769,1917,Ibestad,0.9644230769230769
2018,0.9587912087912088,1917,Ibestad,0.9587912087912088
2019,1,1917,Ibestad,1
2004,NA,1917,Ibestad,0.9774669436254803
2005,NA,1917,Ibestad,0.9774669436254803
2006,NA,1917,Ibestad,0.9774669436254803
2007,NA,1917,Ibestad,0.9774669436254803
2008,NA,1917,Ibestad,0.9774669436254803
2009,NA,1917,Ibestad,0.9774669436254803
2010,NA,1917,Ibestad,0.9774669436254803
2011,NA,1917,Ibestad,0.9774669436254803
2012,1,1940,Kafjord,1
2013,1,1940,Kafjord,1
2014,1,1940,Kafjord,1
