Year,below_lice,Municip_number,Municip,score_final,gf
2007,1,2017,Kvalsund,1,n
2008,1,2017,Kvalsund,1,n
2009,0.98,2017,Kvalsund,0.98,n
2010,1,2017,Kvalsund,1,n
2011,0.9833333333333334,2017,Kvalsund,0.9833333333333334,n
2012,0.9642857142857143,2017,Kvalsund,0.9642857142857143,n
2013,1,2017,Kvalsund,1,n
2014,1,2017,Kvalsund,1,n
2015,1,2017,Kvalsund,1,n
2016,1,2017,Kvalsund,1,n
2017,0.9965986394557823,2017,Kvalsund,0.9965986394557823,n
2018,0.9806064850182498,2017,Kvalsund,0.9806064850182498,n
2019,NA,2017,Kvalsund,0.9674285714285714,y
2013,0.9767441860465116,1920,Lavangen,0.9767441860465116,n
2015,1,1920,Lavangen,1,n
2016,0.9418604651162791,1920,Lavangen,0.9418604651162791,n
2017,0.9607843137254902,1920,Lavangen,0.9607843137254902,n
2005,NA,1920,Lavangen,0.9698472412220702,y
2006,NA,1920,Lavangen,0.9698472412220702,y
2007,NA,1920,Lavangen,0.9698472412220702,y
2008,NA,1920,Lavangen,0.9698472412220702,y
2009,NA,1920,Lavangen,0.9698472412220702,y
2010,NA,1920,Lavangen,0.9698472412220702,y
2011,NA,1920,Lavangen,0.9698472412220702,y
2012,NA,1920,Lavangen,0.9698472412220702,y
2014,NA,1920,Lavangen,0.9698472412220702,y
2018,NA,1920,Lavangen,0.9698472412220702,y
2019,NA,1920,Lavangen,0.9698472412220702,y
2005,0.9226190476190477,2022,Lebesby,0.9226190476190477,n
2006,1,2022,Lebesby,1,n
2007,0.9305555555555556,2022,Lebesby,0.9305555555555556,n
2008,1,2022,Lebesby,1,n
2009,1,2022,Lebesby,1,n
2010,0.9833333333333334,2022,Lebesby,0.9833333333333334,n
2011,0.9151515151515152,2022,Lebesby,0.9151515151515152,n
2012,1,2022,Lebesby,1,n
2013,0.9558823529411764,2022,Lebesby,0.9558823529411764,n
2014,0.9421791443850267,2022,Lebesby,0.9421791443850267,n
2015,1,2022,Lebesby,1,n
2016,1,2022,Lebesby,1,n
2017,1,2022,Lebesby,1,n
2018,1,2022,Lebesby,1,n
2019,NA,2022,Lebesby,0.9706349206349206,y
2012,0.5517241379310345,1822,Leirfjord,0.5517241379310345,n
2016,1,1822,Leirfjord,1,n
2018,1,1822,Leirfjord,1,n
2005,NA,1822,Leirfjord,0.8505747126436781,y
2006,NA,1822,Leirfjord,0.8505747126436781,y
2007,NA,1822,Leirfjord,0.8505747126436781,y
2008,NA,1822,Leirfjord,0.8505747126436781,y
2009,NA,1822,Leirfjord,0.8505747126436781,y
2010,NA,1822,Leirfjord,0.8505747126436781,y
2011,NA,1822,Leirfjord,0.8505747126436781,y
2013,NA,1822,Leirfjord,0.8505747126436781,y
2014,NA,1822,Leirfjord,0.8505747126436781,y
2015,NA,1822,Leirfjord,0.8505747126436781,y
2017,NA,1822,Leirfjord,0.8505747126436781,y
2019,NA,1822,Leirfjord,0.8505747126436781,y
2005,1,1931,Lenvik,1,n
2006,1,1931,Lenvik,1,n
2007,1,1931,Lenvik,1,n
2008,1,1931,Lenvik,1,n
2009,1,1931,Lenvik,1,n
2010,1,1931,Lenvik,1,n
2011,0.9772727272727273,1931,Lenvik,0.9772727272727273,n
2013,0.9469444444444445,1931,Lenvik,0.9469444444444445,n
2014,0.9183843085106382,1931,Lenvik,0.9183843085106382,n
2015,0.9895424836601308,1931,Lenvik,0.9895424836601308,n
2016,1,1931,Lenvik,1,n
2017,0.9917380660954712,1931,Lenvik,0.9917380660954712,n
2018,0.9914185277088503,1931,Lenvik,0.9914185277088503,n
2012,NA,1931,Lenvik,1,y
2019,NA,1931,Lenvik,1,y
2005,0.9494949494949495,1851,Lodingen,0.9494949494949495,n
2006,0.8683982683982684,1851,Lodingen,0.8683982683982684,n
2007,0.9166666666666666,1851,Lodingen,0.9166666666666666,n
2008,0.8680555555555556,1851,Lodingen,0.8680555555555556,n
