"","Year","Kommune.x","Komnum","examinations","Kommune.y","nlocs"
"308",2017,"Fauske",1841,1,"FAUSKE",6
"309",2017,"Flakstad",1859,1,"FLAKSTAD",16
"310",2017,"Gildeskal",1838,5,"GILDESKÅL",21
"311",2017,"Gratangen",1919,1,"GRATANGEN",28
"312",2017,"Hadsel",1866,4,"HADSEL",27
"313",2017,"Hamaroy",1849,2,"HAMARØY",18
"314",2017,"Hammerfest",2004,5,"HAMMERFEST",11
"315",2017,"Harstad",1903,7,"HARSTAD",16
"316",2017,"Heroy",1818,5,"HERØY I NORDLAND",29
"317",2017,"Ibestad",1917,4,"IBESTAD",15
"318",2017,"Kafjord",1940,1,"GAIVUOTNA-KÅFJORD",4
"319",2017,"Karlsoy",1936,4,"KARLSØY",34
"320",2017,"Kvaefjord",1911,4,"KVÆFJORD",12
"321",2017,"Kvaenangen",1943,4,"KVÆNANGEN",23
"322",2017,"Kvalsund",2017,3,"KVALSUND",14
"323",2017,"Lavangen",1920,1,"LAVANGEN",8
"324",2017,"Lebesby",2022,5,"LEBESBY",21
"325",2017,"Lenvik",1931,5,"LENVIK",9
"326",2017,"Lodingen",1851,4,"LØDINGEN",12
"327",2017,"Loppa",2014,3,"LOPPA",16
"328",2017,"Luroy",1834,9,"LURØY",35
"329",2017,"Lyngen",1938,1,"LYNGEN",4
"330",2017,"Masoy",2018,6,"MÅSØY",13
"331",2017,"Meloy",1837,6,"MELØY",20
"332",2017,"Nesna",1828,1,"NESNA",6
"333",2017,"Nesseby",2027,2,"UNJARGGA-NESSEBY",13
"334",2017,"Nordkapp",2019,3,"NORDKAPP",5
"335",2017,"Nordreisa",1942,2,"NORDREISA",7
"336",2017,"Oksnes",1868,3,"ØKSNES",23
"337",2017,"Rodoy",1836,4,"RØDØY",17
"338",2017,"Salangen",1923,2,"SALANGEN",8
"339",2017,"Saltdal",1840,1,"SALTDAL",6
"340",2017,"Skanland",1913,3,"SKÅNLAND",12
"341",2017,"Skjervoy",1941,4,"SKJERVØY",24
"342",2017,"Somna",1812,3,"SØMNA",13
"343",2017,"Sor-Varanger",2030,1,"SØR-VARANGER",12
"344",2017,"Sorfold",1845,4,"SØRFOLD",8
"345",2017,"Sortland",1870,6,"SORTLAND",14
"346",2017,"Steigen",1848,4,"STEIGEN",31
"347",2017,"Torsken",1928,4,"TORSKEN",20
"348",2017,"Tranoy",1927,3,"TRANØY",24
"349",2017,"Tromso",1902,7,"TROMSØ",51
"350",2017,"Tysfjord",1850,3,"TYSFJORD",8
"351",2017,"Vagan",1865,3,"VÅGAN",32
"352",2017,"Vestvagoy",1860,1,"VESTVÅGØY",26
"353",2017,"Vevelstad",1816,1,"VEVELSTAD",10
"354",2018,"Alstahaug",1820,1,"ALSTAHAUG",26
"355",2018,"Alta",2012,8,"ALTA",37
"356",2018,"Ballangen",1854,3,"BALLANGEN",5
"357",2018,"Batsfjord",2028,1,"BÅTSFJORD",10
"358",2018,"Berg",1929,4,"BERG",13
"359",2018,"Bindal",1811,4,"BINDAL",18
"360",2018,"Bo",1867,5,"BØ I NORDLAND",10
"361",2018,"Bodo",1804,4,"BODØ",18
"362",2018,"Bronnoy",1813,4,"BRØNNØY",29
"363",2018,"Donna",1827,8,"DØNNA",17
"364",2018,"Dyroy",1926,2,"DYRØY",15
"365",2018,"Fauske",1841,1,"FAUSKE",6
