"","Week","Year","Municip_number","Municip_name","locs_above_thr_count","locs_below_thr_count","locs_active","locs_above_thr_prop","locs_below_thr_prop"
"293",1,2017,1902,"Tromso",0,8,8,0,1
"294",1,2017,1903,"Harstad",0,6,6,0,1
"295",1,2017,1911,"Kvaefjord",0,2,2,0,1
"296",1,2017,1913,"Skanland",0,3,3,0,1
"297",1,2017,1917,"Ibestad",0,3,3,0,1
"298",1,2017,1919,"Gratangen",0,1,1,0,1
"299",1,2017,1920,"Lavangen",0,1,1,0,1
"300",1,2017,1926,"Dyroy",0,3,3,0,1
"301",1,2017,1927,"Tranoy",0,3,3,0,1
"302",1,2017,1928,"Torsken",0,5,5,0,1
"303",1,2017,1929,"Berg",0,3,3,0,1
"304",1,2017,1931,"Lenvik",0,6,6,0,1
"305",1,2017,1936,"Karlsoy",0,2,2,0,1
"306",1,2017,1940,"Kafjord",0,1,1,0,1
"307",1,2017,1941,"Skjervoy",0,6,6,0,1
"308",1,2017,1943,"Kvaenangen",0,4,4,0,1
"309",1,2017,2004,"Hammerfest",0,4,4,0,1
"310",1,2017,2012,"Alta",0,11,11,0,1
"311",1,2017,2014,"Loppa",0,5,5,0,1
"312",1,2017,2017,"Kvalsund",0,3,3,0,1
"313",1,2017,2018,"Masoy",0,3,3,0,1
"314",1,2017,2019,"Nordkapp",0,3,3,0,1
"315",1,2017,2022,"Lebesby",0,2,2,0,1
"316",1,2017,2027,"Nesseby",0,2,2,0,1
"317",1,2017,2028,"Batsfjord",0,1,1,0,1
"318",1,2017,2030,"Sor-Varanger",0,1,1,0,1
"319",1,2018,1804,"Bodo",0,1,1,0,1
"320",1,2018,1811,"Bindal",0,3,3,0,1
"321",1,2018,1812,"Somna",0,2,2,0,1
"322",1,2018,1813,"Bronnoy",0,5,5,0,1
"323",1,2018,1815,"Vega",0,2,2,0,1
"324",1,2018,1816,"Vevelstad",0,3,3,0,1
"325",1,2018,1818,"Heroy",0,6,6,0,1
"326",1,2018,1820,"Alstahaug",0,1,1,0,1
"327",1,2018,1824,"Vefsn",0,1,1,0,1
"328",1,2018,1827,"Donna",0,7,7,0,1
"329",1,2018,1828,"Nesna",0,1,1,0,1
"330",1,2018,1833,"Rana",0,1,1,0,1
"331",1,2018,1834,"Luroy",0,6,6,0,1
"332",1,2018,1835,"Traena",0,1,1,0,1
"333",1,2018,1836,"Rodoy",0,9,9,0,1
"334",1,2018,1837,"Meloy",0,5,5,0,1
"335",1,2018,1838,"Gildeskal",0,7,7,0,1
"336",1,2018,1840,"Saltdal",0,1,1,0,1
"337",1,2018,1841,"Fauske",0,1,1,0,1
"338",1,2018,1845,"Sorfold",0,3,3,0,1
"339",1,2018,1848,"Steigen",0,6,6,0,1
"340",1,2018,1849,"Hamaroy",0,1,1,0,1
"341",1,2018,1850,"Tysfjord",0,5,5,0,1
"342",1,2018,1851,"Lodingen",0,3,3,0,1
"343",1,2018,1854,"Ballangen",0,2,2,0,1
"344",1,2018,1859,"Flakstad",0,1,1,0,1
"345",1,2018,1860,"Vestvagoy",0,3,3,0,1
"346",1,2018,1865,"Vagan",1,1,2,0.5,0.5
"347",1,2018,1866,"Hadsel",0,4,4,0,1
"348",1,2018,1867,"Bo",1,1,2,0.5,0.5
"349",1,2018,1868,"Oksnes",1,5,6,0.166666666666667,0.833333333333333
"350",1,2018,1870,"Sortland",0,3,3,0,1
"351",1,2018,1902,"Tromso",0,3,3,0,1
"352",1,2018,1903,"Harstad",0,4,4,0,1
"353",1,2018,1911,"Kvaefjord",0,1,1,0,1
"354",1,2018,1913,"Skanland",0,2,2,0,1
"355",1,2018,1917,"Ibestad",0,5,5,0,1
"356",1,2018,1919,"Gratangen",0,1,1,0,1
"357",1,2018,1920,"Lavangen",0,1,1,0,1
"358",1,2018,1923,"Salangen",0,2,2,0,1
"359",1,2018,1926,"Dyroy",0,3,3,0,1
"360",1,2018,1927,"Tranoy",0,3,3,0,1
"361",1,2018,1928,"Torsken",0,3,3,0,1
"362",1,2018,1929,"Berg",0,4,4,0,1
"363",1,2018,1931,"Lenvik",1,4,5,0.2,0.8
"364",1,2018,1936,"Karlsoy",0,6,6,0,1
"365",1,2018,1938,"Lyngen",0,1,1,0,1
"366",1,2018,1940,"Kafjord",0,1,1,0,1
"367",1,2018,1941,"Skjervoy",0,5,5,0,1
"368",1,2018,1942,"Nordreisa",0,3,3,0,1
"369",1,2018,1943,"Kvaenangen",0,4,4,0,1
"370",1,2018,2004,"Hammerfest",0,5,5,0,1
"371",1,2018,2012,"Alta",0,9,9,0,1
"372",1,2018,2014,"Loppa",0,7,7,0,1
"373",1,2018,2015,"Hasvik",0,2,2,0,1
"374",1,2018,2017,"Kvalsund",0,7,7,0,1
"375",1,2018,2018,"Masoy",0,5,5,0,1
"376",1,2018,2019,"Nordkapp",1,2,3,0.333333333333333,0.666666666666667
"377",1,2018,2022,"Lebesby",0,2,2,0,1
"378",1,2018,2027,"Nesseby",0,3,3,0,1
"379",1,2018,2028,"Batsfjord",0,1,1,0,1
"380",1,2019,1804,"Bodo",0,4,4,0,1
"381",1,2019,1805,"Narvik",0,1,1,0,1
"382",1,2019,1811,"Bindal",0,4,4,0,1
"383",1,2019,1812,"Somna",0,1,1,0,1
"384",1,2019,1813,"Bronnoy",0,7,7,0,1
"385",1,2019,1815,"Vega",0,2,2,0,1
"386",1,2019,1816,"Vevelstad",0,4,4,0,1
"387",1,2019,1818,"Heroy",0,6,6,0,1
"388",1,2019,1822,"Leirfjord",0,1,1,0,1
"389",1,2019,1824,"Vefsn",0,1,1,0,1
"390",1,2019,1827,"Donna",0,6,6,0,1
"391",1,2019,1828,"Nesna",0,1,1,0,1
"392",1,2019,1833,"Rana",0,1,1,0,1
"393",1,2019,1834,"Luroy",0,8,8,0,1
"394",1,2019,1835,"Traena",0,1,1,0,1
"395",1,2019,1836,"Rodoy",0,8,8,0,1
"396",1,2019,1837,"Meloy",0,6,6,0,1
"397",1,2019,1838,"Gildeskal",0,6,6,0,1
"398",1,2019,1840,"Saltdal",0,2,2,0,1
"399",1,2019,1845,"Sorfold",0,5,5,0,1
"400",1,2019,1848,"Steigen",0,6,6,0,1
"401",1,2019,1849,"Hamaroy",0,2,2,0,1
"402",1,2019,1850,"Tysfjord",0,4,4,0,1
"403",1,2019,1851,"Lodingen",0,5,5,0,1
"404",1,2019,1852,"Tjeldsund",0,1,1,0,1
"405",1,2019,1854,"Ballangen",0,1,1,0,1
