"year","county","municip_number","municip","production_final","feed_kg","efcr_municip"
2010,"Nordland",1850,"Tysfjord",3196017.89872,6593548,2.06305102441407
2010,"Nordland",1851,"Lodingen",4965684.41152,8317252,1.6749457498154
2010,"Nordland",1854,"Ballangen",1439325.36448,2290761,1.59155188710762
2010,"Nordland",1859,"Flakstad",2745118.31696,4311644,1.57065871199854
2010,"Nordland",1860,"Vestvagoy",6679731.854,7497925,1.12248892079553
2010,"Nordland",1865,"Vagan",13011588.61048,15767611,1.21181290555868
2010,"Nordland",1866,"Hadsel",6309769.12128,8881964,1.40765277291132
2010,"Nordland",1867,"Bo",6135737.9188,7653629,1.24738525362193
2010,"Nordland",1868,"Oksnes",8468932.40544,11759696,1.38856888176911
2010,"Nordland",1870,"Sortland",2020954.13904,2779833,1.37550523601712
2011,"Finnmark",2004,"Hammerfest",15757610.48016,22537376,1.43025340221325
2011,"Finnmark",2012,"Alta",14594224.23888,20840054,1.42796586230878
2011,"Finnmark",2014,"Loppa",9744664.13224,13313436,1.36622830908587
2011,"Finnmark",2017,"Kvalsund",5400289.9472,7361502,1.36316791727394
2011,"Finnmark",2019,"Nordkapp",1633030.7384,2092582,1.2814100499114
2011,"Finnmark",2022,"Lebesby",3026219.10336,4333581,1.43201164621175
2011,"Finnmark",2027,"Nesseby",3336282.72376,4839639,1.45060817703894
2011,"Finnmark",2030,"Sor-Varanger",5907343.22992,8281099,1.40183136101813
2011,"Troms",1902,"Tromso",7148188.93464,10728430,1.50085988186605
2011,"Troms",1903,"Harstad",10021294.43512,13916511,1.38869395466808
2011,"Troms",1911,"Kvaefjord",4447501.30096,8221621,1.84859327600991
2011,"Troms",1913,"Skanland",1312260.5584,1815472,1.3834691505272
2011,"Troms",1917,"Ibestad",8828318.71424,12311979,1.39460064804195
2011,"Troms",1920,"Lavangen",2797161.40968,4218685,1.50820220291922
2011,"Troms",1923,"Salangen",850901.59,3559,0.00418262234061638
2011,"Troms",1926,"Dyroy",9720236.40016,9526488,0.980067521798461
2011,"Troms",1927,"Tranoy",12375503.01296,13771834,1.11283024096699
2011,"Troms",1928,"Torsken",11801104.34976,12077677,1.02343616682329
2011,"Troms",1929,"Berg",4310270.02864,5410500,1.25525778293458
2011,"Troms",1931,"Lenvik",6697635.82616,9863448,1.47267606899061
2011,"Troms",1936,"Karlsoy",8891519.80424,12403717,1.39500527166179
2011,"Troms",1938,"Lyngen",4017549.91176,5441600,1.35445734826382
2011,"Troms",1939,"Storfjord",0,376700,NA
2011,"Troms",1940,"Kafjord",763801.52752,1090461,1.42767585650246
2011,"Troms",1941,"Skjervoy",6359669.86984,7202664,1.13255312734986
2011,"Troms",1942,"Nordreisa",1306053.24824,1827092,1.39894143095784
2011,"Troms",1943,"Kvaenangen",5162135.87504,7331794,1.42030240533783
2011,"Nordland",1804,"Bodo",-321634.61616,772045,NA
2011,"Nordland",1811,"Bindal",9025168.99736,7890825,0.874313267962981
2011,"Nordland",1812,"Somna",398191.88376,1024254,2.57226237342734
2011,"Nordland",1813,"Bronnoy",10804274.24824,12415471,1.14912586581394
2011,"Nordland",1815,"Vega",1231202.93688,1451236,1.17871388747463
2011,"Nordland",1816,"Vevelstad",5953062.0204,8077763,1.35690892725778
2011,"Nordland",1818,"Heroy",5228481.72168,6822166,1.30480823366213
2011,"Nordland",1820,"Alstahaug",6807757.68288,8057122,1.18352067968898
2011,"Nordland",1824,"Vefsn",808260.99568,1003000,1.2409357934638
2011,"Nordland",1827,"Donna",7839600.80608,11501052,1.46704561679727
2011,"Nordland",1828,"Nesna",4078222.61624,4086741,1.00208874908547
2011,"Nordland",1833,"Rana",2904816.32232,3604704,1.24094042446065
2011,"Nordland",1834,"Luroy",8874902.86664,13951461,1.57201281069141
2011,"Nordland",1835,"Traena",2050193.48136,2829498,1.38011267020664
2011,"Nordland",1836,"Rodoy",10109872.6292,13163485,1.302042615451
2011,"Nordland",1837,"Meloy",6908696.99456,9751487,1.41147990824876
2011,"Nordland",1838,"Gildeskal",7314582.98496,11315610,1.54699318105581
2011,"Nordland",1840,"Saltdal",886598.89392,1679616,1.89444856238627
2011,"Nordland",1841,"Fauske",3606718.00456,4600484,1.27553193628766
2011,"Nordland",1845,"Sorfold",7894255.87152,10261010,1.29980712140564
2011,"Nordland",1848,"Steigen",16807882.70552,21730258,1.29286111646076
2011,"Nordland",1849,"Hamaroy",2088356.45616,2383250,1.14120843353641
2011,"Nordland",1850,"Tysfjord",7851366.8404,11824354,1.50602490500846
2011,"Nordland",1851,"Lodingen",4803973.37336,5039121,1.04894856993671
2011,"Nordland",1854,"Ballangen",1501068.6852,2424680,1.61530250008309
2011,"Nordland",1859,"Flakstad",2620348.35536,3737962,1.42651338412845
2011,"Nordland",1860,"Vestvagoy",5792380.3176,7585555,1.30957474890789
2011,"Nordland",1865,"Vagan",9713100.60696,11266952,1.1599748068013
2011,"Nordland",1866,"Hadsel",11773027.28976,15434448,1.31100078341147
2011,"Nordland",1867,"Bo",6463963.532,8785763,1.35919130058607
2011,"Nordland",1868,"Oksnes",9671245.96016,13638303,1.41019089538018
2011,"Nordland",1870,"Sortland",4758758.80328,6685559,1.40489553607801
2012,"Finnmark",2004,"Hammerfest",11472575.21304,17473890,1.52310093205044
2012,"Finnmark",2012,"Alta",20380554.39328,28113079,1.37940698066926
2012,"Finnmark",2014,"Loppa",12165639.61424,16645075,1.36820385345928
2012,"Finnmark",2017,"Kvalsund",10030254.06288,12594007,1.25560199383263
2012,"Finnmark",2018,"Masoy",5872288.71768,9476443,1.61375631471743
2012,"Finnmark",2019,"Nordkapp",3947599.622,5625932,1.42515263418474
2012,"Finnmark",2022,"Lebesby",4922801.82536,6654867,1.35184539944655
2012,"Finnmark",2027,"Nesseby",7798229.92632,9716739,1.24601853135989
2012,"Finnmark",2030,"Sor-Varanger",3826995.16936,5890177,1.53911273449165
2012,"Troms",1902,"Tromso",7701656.26304,9341699,1.21294675858627
2012,"Troms",1903,"Harstad",18302250.81048,21143940,1.15526446549912
2012,"Troms",1911,"Kvaefjord",10331908.51424,14781940,1.43070759672588
2012,"Troms",1913,"Skanland",2534992.2368,3547117,1.39926148431825
2012,"Troms",1917,"Ibestad",8837150.00536,12530918,1.41798181454424
2012,"Troms",1920,"Lavangen",831622.09472,1688439,2.03029598506336
2012,"Troms",1923,"Salangen",3205591.34984,1902964,0.593638986483721
2012,"Troms",1925,"Sorreisa",2038524.83824,4325418,2.12183728098915
2012,"Troms",1926,"Dyroy",6856204.07128,11722320,1.70973907400214
2012,"Troms",1927,"Tranoy",12366675.32624,17537268,1.41810693152014
2012,"Troms",1928,"Torsken",9693225.98192,7240945,0.747010852063694
2012,"Troms",1929,"Berg",3608814.61768,5045302,1.39804964635271
2012,"Troms",1931,"Lenvik",6614727.79064,6372602,0.963395955464318
