"","Municip_number","Municip_name","Year","average_locs_above_thr","average_prop_locs_above_thr"
"320",1919,"Gratangen",2018,0.0208333333333333,0.0208333333333333
"321",1919,"Gratangen",2019,0,0
"322",1920,"Lavangen",2012,0,0
"323",1920,"Lavangen",2013,0.04,0.03
"324",1920,"Lavangen",2014,0,0
"325",1920,"Lavangen",2015,0,0
"326",1920,"Lavangen",2016,0.1,0.05
"327",1920,"Lavangen",2017,0.0392156862745098,0.0392156862745098
"328",1920,"Lavangen",2018,0,0
"329",1920,"Lavangen",2019,0,0
"330",1923,"Salangen",2012,0,0
"331",1923,"Salangen",2013,0,0
"332",1923,"Salangen",2014,0,0
"333",1923,"Salangen",2015,0,0
"334",1923,"Salangen",2016,0,0
"335",1923,"Salangen",2017,0,0
"336",1923,"Salangen",2018,0.0217391304347826,0.0108695652173913
"337",1925,"Sorreisa",2012,0.166666666666667,0.166666666666667
"338",1925,"Sorreisa",2013,0,0
"339",1925,"Sorreisa",2014,0.0697674418604651,0.0697674418604651
"340",1926,"Dyroy",2012,0.260869565217391,0.117753623188406
"341",1926,"Dyroy",2013,0.0238095238095238,0.0119047619047619
"342",1926,"Dyroy",2014,0.0961538461538462,0.032051282051282
"343",1926,"Dyroy",2015,0.0188679245283019,0.00943396226415094
"344",1926,"Dyroy",2016,0.346153846153846,0.0759615384615385
"345",1926,"Dyroy",2017,0.0576923076923077,0.0192307692307692
"346",1926,"Dyroy",2018,0.0576923076923077,0.0115384615384615
"347",1926,"Dyroy",2019,0.230769230769231,0.0769230769230769
"348",1927,"Tranoy",2012,0.230769230769231,0.0554487179487179
"349",1927,"Tranoy",2013,0.0769230769230769,0.0173076923076923
"350",1927,"Tranoy",2014,0.0384615384615385,0.016025641025641
"351",1927,"Tranoy",2015,0.0188679245283019,0.00471698113207547
"352",1927,"Tranoy",2016,0.134615384615385,0.0480769230769231
"353",1927,"Tranoy",2017,0.0192307692307692,0.00641025641025641
"354",1927,"Tranoy",2018,0.0384615384615385,0.00769230769230769
"355",1927,"Tranoy",2019,0,0
"356",1928,"Torsken",2012,0.0952380952380952,0.0285714285714286
"357",1928,"Torsken",2013,0.615384615384615,0.119871794871795
"358",1928,"Torsken",2014,0.431372549019608,0.0697945845004669
"359",1928,"Torsken",2015,0.0784313725490196,0.0284313725490196
"360",1928,"Torsken",2016,0.0576923076923077,0.0115384615384615
"361",1928,"Torsken",2017,0.384615384615385,0.113141025641026
"362",1928,"Torsken",2018,0,0
"363",1928,"Torsken",2019,0,0
"364",1929,"Berg",2012,0,0
"365",1929,"Berg",2013,0.176470588235294,0.0686274509803921
"366",1929,"Berg",2014,0,0
"367",1929,"Berg",2015,0.0192307692307692,0.00480769230769231
"368",1929,"Berg",2016,0.122448979591837,0.0340136054421769
"369",1929,"Berg",2017,0.192307692307692,0.0560897435897436
"370",1929,"Berg",2018,0,0
"371",1929,"Berg",2019,0,0
"372",1931,"Lenvik",2012,0.189189189189189,0.0675675675675676
"373",1931,"Lenvik",2013,0.288461538461538,0.104166666666667
"374",1931,"Lenvik",2014,0.313725490196078,0.106209150326797
"375",1931,"Lenvik",2015,0.0754716981132075,0.0157232704402516
"376",1931,"Lenvik",2016,0,0
"377",1931,"Lenvik",2017,0.0961538461538462,0.0166666666666667
"378",1931,"Lenvik",2018,0.0384615384615385,0.00769230769230769
"379",1931,"Lenvik",2019,0.0833333333333333,0.0277777777777778
"380",1936,"Karlsoy",2012,0,0
"381",1936,"Karlsoy",2013,0,0
"382",1936,"Karlsoy",2014,0.0196078431372549,0.00490196078431373
"383",1936,"Karlsoy",2015,0,0
"384",1936,"Karlsoy",2016,0.0392156862745098,0.00980392156862745
"385",1936,"Karlsoy",2017,0.0196078431372549,0.00326797385620915
"386",1936,"Karlsoy",2018,0,0
"387",1936,"Karlsoy",2019,0,0
"388",1938,"Lyngen",2012,0,0
"389",1938,"Lyngen",2013,0,0
"390",1938,"Lyngen",2014,0,0
"391",1938,"Lyngen",2015,0,0
"392",1938,"Lyngen",2016,0,0
"393",1938,"Lyngen",2017,0,0
"394",1938,"Lyngen",2018,0,0
"395",1940,"Kafjord",2012,0,0
"396",1940,"Kafjord",2013,0,0
"397",1940,"Kafjord",2014,0,0
