"","year","county","municip_number","municip","seaarea","lice_score","momb_score","prr_score","escapees_score","sustainability","production_searea","production_max","aquaculture_score"
"624",2010,"Troms",1902,"Tromso",2767.33,0.962789661319073,1,0.917343281019373,NA,0.959447246480711,3387.13303725974,100384.652468928,3.23732302312706
"625",2011,"Troms",1902,"Tromso",2767.33,0.960802469135802,1,0.86632496455974,NA,0.940672208564117,2707.5357485374,138621.566114261,1.83730692397722
"626",2012,"Troms",1902,"Tromso",2767.33,0.977272727272727,1,0.991580607064548,NA,0.98957322154171,3038.39976005753,143049.209439033,2.10187742433708
"627",2013,"Troms",1902,"Tromso",2767.33,1,1,0.960078317969503,NA,0.986511655214109,4237.66464425999,213892.924204099,1.95448520702917
"628",2014,"Troms",1902,"Tromso",2767.33,1,1,0.943107284122923,NA,0.980664301824532,3996.65978542494,128643.610679612,3.04669742818802
"629",2015,"Troms",1902,"Tromso",2767.33,1,1,0.999579124579124,NA,0.999859688506647,5027.4927916078,153175.221263016,3.28172359415425
"630",2016,"Troms",1902,"Tromso",2767.33,1,1,0.926042576287627,NA,0.974713508212781,6296.6338734448,206784.422546882,2.96802535564561
"631",2017,"Troms",1902,"Tromso",2767.33,0.992592592592593,1,0.94367342321533,NA,0.97843260822322,6513.03201931103,242862.37313563,2.62393998041722
"632",2018,"Troms",1902,"Tromso",2767.33,1,1,0.934189209080893,0.641660889757995,0.87990361890967,4739.10426150839,143135.447262345,2.91329301710191
"633",2005,"Troms",1902,"Tromso",2767.33,0.915227272727273,1,0.926754497054264,NA,0.946595753250142,1286.70798459165,59747.5723235912,2.03856368806232
"634",2006,"Nordland",1850,"Tysfjord",465.3,1,0.981481481481481,0.999579124579124,NA,0.993649219653039,2527.75081882656,121604.867684256,2.06545813209213
"635",2007,"Nordland",1850,"Tysfjord",465.3,0.94676951977131,0.981481481481481,0.999579124579124,NA,0.975695986247677,4820.08798839458,149998.637316471,3.13532215210386
"636",2008,"Nordland",1850,"Tysfjord",465.3,1,0.981481481481481,0.941204727790813,NA,0.973917276504063,8533.63682570385,178392.406948684,4.65886215569421
"637",2009,"Nordland",1850,"Tysfjord",465.3,1,0.981481481481481,0.999579124579124,NA,0.993649219653039,8117.40149580916,206786.176580898,3.90057488139962
"638",2010,"Nordland",1850,"Tysfjord",465.3,0.972222222222222,0.981481481481481,0.693797889783429,NA,0.871552479272591,4319.82128519235,100384.652468928,3.75052446616703
"639",2011,"Nordland",1850,"Tysfjord",465.3,0.925,1,0.918694720566801,NA,0.947191192574889,18558.88954438,138621.566114261,12.6811557632507
"640",2012,"Nordland",1850,"Tysfjord",465.3,0.95,1,0.927094988941588,NA,0.958552592941149,27200.6459552977,143049.209439033,18.226769523838
"641",2013,"Nordland",1850,"Tysfjord",465.3,0.977096546863989,1,0.999579124579124,NA,0.992167245117332,37466.9894068343,213892.924204099,17.3794994859893
"642",2014,"Nordland",1850,"Tysfjord",465.3,0.968636194723151,0.962962962962963,0.963954370679021,NA,0.965181341985454,42142.1845218139,128643.610679612,31.6182436081214
"643",2015,"Nordland",1850,"Tysfjord",465.3,0.876554541388301,0.962962962962963,0.921365711890754,NA,0.919616718434905,39247.8059230604,153175.221263016,23.5631704600314
"644",2016,"Nordland",1850,"Tysfjord",465.3,0.897387021475257,0.981481481481481,0.999579124579124,NA,0.958428436127122,33095.9927487642,206784.422546882,15.3397147529723
"645",2017,"Nordland",1850,"Tysfjord",465.3,1,0.962962962962963,0.999579124579124,NA,0.98736013205332,14338.2750762949,242862.37313563,5.82924435348456
"646",2018,"Nordland",1850,"Tysfjord",465.3,0.991269841269841,0.981481481481481,0.999579124579124,0.774729064039409,0.931666022852414,39095.464779712,143135.447262345,25.4471669174454
"647",2005,"Nordland",1850,"Tysfjord",465.3,0.833333333333333,0.981481481481481,0.874582414120212,NA,0.894335633061403,380.516711798839,59747.5723235912,0.569579049160275
"648",2006,"Nordland",1824,"Vefsn",101.49,0.90355694980695,1,0.999579124579124,NA,0.966623990085497,16969.0189772391,121604.867684256,13.4884903408673
"649",2007,"Nordland",1824,"Vefsn",101.49,0.90355694980695,1,0.924694725157615,NA,0.941856278068196,12130.3983840772,149998.637316471,7.61679711090077
"650",2008,"Nordland",1824,"Vefsn",101.49,0.90355694980695,1,0.999579124579124,NA,0.966623990085497,24178.1744211252,178392.406948684,13.1010079586258
"651",2009,"Nordland",1824,"Vefsn",101.49,0.90355694980695,1,0.882251762989776,NA,0.927219781785057,13774.6169671889,206786.176580898,6.17647540549837
"652",2010,"Nordland",1824,"Vefsn",101.49,0.90355694980695,1,0.999579124579124,NA,0.966623990085497,26735.3729332939,100384.652468928,25.7440278225832
"653",2011,"Nordland",1824,"Vefsn",101.49,0.90355694980695,1,0.999579124579124,NA,0.966623990085497,9217.45626170066,138621.566114261,6.42743737491726
"654",2012,"Nordland",1824,"Vefsn",101.49,0.67741935483871,1,0.999579124579124,NA,0.878128877985523,32176.4942063257,143049.209439033,19.7520202073894
"655",2013,"Nordland",1824,"Vefsn",101.49,0.96875,1,0.984328637012466,NA,0.984276867824454,13693.1455217263,213892.924204099,6.30121189606462
"656",2014,"Nordland",1824,"Vefsn",101.49,0.657142857142857,1,0.962075422448627,NA,0.858268099166184,26498.0027490393,128643.610679612,17.6786008500325
"657",2015,"Nordland",1824,"Vefsn",101.49,1,1,0.999579124579124,NA,0.999859688506647,17583.3242684008,153175.221263016,11.4776117056992
"658",2016,"Nordland",1824,"Vefsn",101.49,0.891891891891892,1,0.999579124579124,NA,0.962446205218858,23301.1793772785,206784.422546882,10.8451745990205
"659",2017,"Nordland",1824,"Vefsn",101.49,1,1,0.912866965915321,NA,0.970068711579717,24409.1278943738,242862.37313563,9.74977347934261
"660",2018,"Nordland",1824,"Vefsn",101.49,0.90355694980695,1,0.887705866587039,0.821428571428571,0.900945678223476,8521.18881663218,143135.447262345,5.36354088697541
"661",2005,"Nordland",1824,"Vefsn",101.49,0.90355694980695,1,0.862815804973853,NA,0.920360294053265,16519.1079515223,59747.5723235912,25.4462741505526
"662",2006,"Nordland",1815,"Vega",2756.44,0.804861111111111,1,0.765780262437648,NA,0.851023796545806,619.002544223709,121604.867684256,0.433194744000346
"663",2007,"Nordland",1815,"Vega",2756.44,0.939393939393939,1,0.927640013945446,NA,0.955159154798192,428.809718695128,149998.637316471,0.273056832919052
"664",2008,"Nordland",1815,"Vega",2756.44,0.923333333333333,1,0.999579124579124,NA,0.97362540462027,1367.4275278983,178392.406948684,0.746311013406449
"665",2009,"Nordland",1815,"Vega",2756.44,0.958333333333333,1,0.882071646538312,NA,0.945526021734759,266.320676669908,206786.176580898,0.121774643779872
"666",2010,"Nordland",1815,"Vega",2756.44,0.755347593582888,1,0.933931329307405,NA,0.890199333445604,990.871689207819,100384.652468928,0.878693401400123
"667",2011,"Nordland",1815,"Vega",2756.44,0.854166666666667,1,0.87027056988863,NA,0.905869502757283,515.965539246274,138621.566114261,0.337175130521651
"668",2012,"Nordland",1815,"Vega",2756.44,0.757575757575758,1,0.88837140777512,NA,0.876341839863087,1935.53527702399,143049.209439033,1.18573919593035
"669",2013,"Nordland",1815,"Vega",2756.44,0.898275862068965,1,0.999579124579124,NA,0.964737075617782,1234.42662601036,213892.924204099,0.556772570983036
"670",2014,"Nordland",1815,"Vega",2756.44,0.737986909323116,1,0.999579124579124,NA,0.903556425412829,2373.9298007575,128643.610679612,1.66738131308793
"671",2015,"Nordland",1815,"Vega",2756.44,1,1,0.999579124579124,NA,0.999859688506647,795.125442599875,153175.221263016,0.519022509519674
"672",2016,"Nordland",1815,"Vega",2756.44,0.894642857142857,1,0.999579124579124,NA,0.963434717611572,2159.40404253312,206784.422546882,1.00609359172377
"673",2017,"Nordland",1815,"Vega",2756.44,1,1,0.876887645423939,NA,0.957152894675005,1236.16264856119,242862.37313563,0.487188131320238
"674",2018,"Nordland",1815,"Vega",2756.44,0.98780487804878,1,0.990821777460581,0.821428571428571,0.946910928046095,859.18229056319,143135.447262345,0.568391069912135
"675",2005,"Nordland",1815,"Vega",2756.44,0.668518518518519,1,0.572053698708221,NA,0.725855346352669,262.291815892963,59747.5723235912,0.318650464724044
"676",2006,"Nordland",1816,"Vevelstad",122.2,0.8875,1,0.999579124579124,NA,0.960863832228643,38979.4217184943,121604.867684256,30.7996852788301
"677",2007,"Nordland",1816,"Vevelstad",122.2,1,1,0.923224949994794,NA,0.973723932203125,42241.8572749591,149998.637316471,27.4215206919216
"678",2008,"Nordland",1816,"Vevelstad",122.2,0.944444444444444,1,0.999579124579124,NA,0.980989889341784,36738.9082815057,178392.406948684,20.2029325048457
"679",2009,"Nordland",1816,"Vevelstad",122.2,0.815007215007215,1,0.867305069014523,NA,0.890795017790009,40945.2573813421,206786.176580898,17.6384281969447
"680",2010,"Nordland",1816,"Vevelstad",122.2,0.805555555555556,1,0.907410766526799,NA,0.900809881754136,28697.064705401,100384.652468928,25.7515455083778
"681",2011,"Nordland",1816,"Vevelstad",122.2,0.844494047619048,1,0.99814603678161,NA,0.944633971404701,55424.1379296236,138621.566114261,37.7686712044412
"682",2012,"Nordland",1816,"Vevelstad",122.2,0.904116831239473,1,0.945999170369683,NA,0.949230687340909,27114.4266693944,143049.209439033,17.9923020652648
"683",2013,"Nordland",1816,"Vevelstad",122.2,0.87989417989418,1,0.999579124579124,NA,0.958111105753207,57101.4381096563,213892.924204099,25.5779952566998
"684",2014,"Nordland",1816,"Vevelstad",122.2,0.607954545454545,1,0.999579124579124,NA,0.847024740779656,32527.6211947627,128643.610679612,21.417076032863
"685",2015,"Nordland",1816,"Vevelstad",122.2,0.993710691823899,1,0.999579124579124,NA,0.997759136755477,56325.3265466448,153175.221263016,36.6894258283143
