"","landing_municip_numb","landing_municip","landing_county","year","local_landings_NOK","local_landings_tonnes","total_landings_NOK","total_landings_tonnes","proportion_local_NOK","proportion_local_tonnes","mean_NOK_per_tonnes","fishing_industry_yes_no"
"85",1854,"Ballangen","Nordland","2018",0,0,0,0,0,0,0,0
"86",1933,"Balsfjord","Troms","2018",0,0,0,0,0,0,0,0
"87",2028,"Batsfjord","Finnmark","2018",336983.05175,19128.18363,1480499.96504,92118.38437,22.7614359815872,20.7647840990896,16.0717100627109,1
"88",1929,"Berg","Troms","2018",50830.21533,3595.97438,556974.43918,51571.55334,9.12613070805085,6.97278663741719,10.8000322485536,1
"89",2024,"Berlevag","Finnmark","2018",111384.25273,7361.98854,225984.43143,16434.97002,49.2884629375462,44.7946575566677,13.7502186590542,1
"90",1811,"Bindal","Nordland","2018",1346.29542,113.26852,2080.53512,144.84461,64.7090936873971,78.2000241500184,14.3639112287299,1
"91",1867,"Bo","Nordland","2018",41802.25224,2520.74829,76242.91575,4588.16091,54.8277198331046,54.9402764952287,16.6173151390194,1
"92",1804,"Bodo","Nordland","2018",18607.79298,2096.76333,49635.80557,10218.57581,37.4886491038368,20.5191346522877,4.85740933892431,1
"93",1813,"Bronnoy","Nordland","2018",12503.48713,670.54891,19994.60048,21650.90145,62.5343184151484,3.09709464776119,0.923499676268676,1
"94",1827,"Donna","Nordland","2018",5273.60894,421.5974,18096.27485,1288.21435,29.1419586832812,32.7272708924567,14.0475650267364,1
"95",1926,"Dyroy","Troms","2018",0,0,0,0,0,0,0,0
"96",1853,"Evenes","Nordland","2018",0,0,0,0,0,0,0,0
"97",1841,"Fauske","Nordland","2018",0,0,0,0,0,0,0,0
"98",1859,"Flakstad","Nordland","2018",112512.83484,6701.05728,167430.0992,9913.02471,67.1998854313526,67.598512825658,16.8899104055598,1
"99",2023,"Gamvik","Finnmark","2018",85942.75502,5248.55329,152798.00178,9854.82143,56.2459940698316,53.2587356075512,15.5048980709943,1
"100",1838,"Gildeskal","Nordland","2018",1965.60635,106.58432,2593.2618,158.04148,75.7966800729491,67.4407250552197,16.4087415531669,1
"101",1919,"Gratangen","Troms","2018",0,0,0,0,0,0,0,0
"102",1866,"Hadsel","Nordland","2018",51471.13083,2917.03089,133723.66434,7558.59529,38.4906673654498,38.5922354363809,17.6916026337481,1
"103",1849,"Hamaroy","Nordland","2018",0,0,0,0,0,0,0,0
"104",2004,"Hammerfest","Finnmark","2018",137687.93802,8528.28504,491143.88517,34566.03812,28.034134634974,24.6724400707801,14.2088567820511,1
"105",1903,"Harstad","Troms","2018",1236.91333,82.42386,9930.99096,768.65588,12.4550846434362,10.7231157849206,12.9199440457022,1
"106",2015,"Hasvik","Finnmark","2018",56578.06168,3384.79076,219788.81695,14753.5843,25.742011110998,22.9421589437083,14.897316643929,1
"107",1832,"Hemnes","Nordland","2018",0,0,0,0,0,0,0,0
"108",1818,"Heroy","Nordland","2018",5853.741,470.95155,10213.09577,826.11646,57.3160296527798,57.0078884519502,12.3627796618409,1
"109",1917,"Ibestad","Troms","2018",0,0,0,0,0,0,0,0
"110",1940,"Kafjord","Troms","2018",502.86673,43.34228,2259.29474,158.72273,22.2576860423266,27.3069143909004,14.2342230378724,1
"111",1936,"Karlsoy","Troms","2018",85326.63674,5406.7252,185479.19784,16725.36693,46.0033457841485,32.3264967676258,11.0896937936416,1
"112",1911,"Kvaefjord","Troms","2018",393.82534,33.84386,1373.02564,116.32618,28.6830288180197,29.0939322515362,11.8032384455503,1
"113",1943,"Kvaenangen","Troms","2018",2148.74462,132.92026,5476.40264,324.62398,39.2364250996709,40.9459153325642,16.8699879780908,1
"114",2017,"Kvalsund","Finnmark","2018",0,0,0,0,0,0,0,0
"115",1920,"Lavangen","Troms","2018",0,0,0,0,0,0,0,0
"116",2022,"Lebesby","Finnmark","2018",92101.05792,3641.27956,221132.34435,9139.86985,41.6497451744218,39.8395121567294,24.1942552770596,1
"117",1822,"Leirfjord","Nordland","2018",1388.59439,11.02,1388.59439,11.02,100,100,126.006750453721,1
"118",1931,"Lenvik","Troms","2018",135946.93226,9085.62724,277305.57242,14917.35066,49.0242338347598,60.9064400715777,18.5894652971843,1
"119",1851,"Lodingen","Nordland","2018",6513.08863,1695.02733,132140.48724,31056.30874,4.92891222519152,5.45791627778621,4.2548677740895,1
"120",2014,"Loppa","Finnmark","2018",11971.95875,736.7668,30887.13018,1966.45409,38.7603467212116,37.4667684207161,15.7070181994434,1
"121",1834,"Luroy","Nordland","2018",459.42609,20.0953,4419.14449,100.94484,10.396267672162,19.9072087290445,43.7778145965658,1
"122",1938,"Lyngen","Troms","2018",6806.28335,124.79159,14709.68642,288.25869,46.2707576195904,43.2915274817908,51.0294639165952,1
"123",1924,"Malselv","Troms","2018",0,0,0,0,0,0,0,0
"124",2018,"Masoy","Finnmark","2018",77197.91635,4871.62447,407008.50598,36812.61937,18.9671506162069,13.2335719472602,11.0562223755174,1
"125",1837,"Meloy","Nordland","2018",5078.13395,424.43999,7981.32091,634.52556,63.6252320544771,66.8909208322514,12.5784072591181,1
"126",1874,"Moskenes","Nordland","2018",77435.55116,4954.02288,127102.65677,7817.931,60.923629078914,63.3674418461867,16.2578381377375,1
"127",1805,"Narvik","Nordland","2018",314.4885,1.989,314.4885,1.989,100,100,158.113876319759,0
"128",1828,"Nesna","Nordland","2018",0,0,42.19815,4.97975,0,0,8.4739494954566,0
"129",2027,"Nesseby","Finnmark","2018",11950.69578,339.38754,14016.02837,436.05133,85.2644947949688,77.832015785848,32.1430698766588,1
"130",2019,"Nordkapp","Finnmark","2018",183048.55092,9966.26159,430995.23943,42030.90386,42.4711305772392,23.7117470116666,10.2542462771106,1
