"","county","municip_name","municip_numb","year","age","main_occupation","part_time_occupation"
"266","Finnmark","Alta",2012,"2016","20-29",10,1
"267","Finnmark","Alta",2012,"2016","30-39",8,2
"268","Finnmark","Alta",2012,"2016","40-49",10,4
"269","Finnmark","Alta",2012,"2016","50-59",16,4
"270","Finnmark","Alta",2012,"2016","60-66",5,4
"271","Finnmark","Alta",2012,"2016","67-69",8,1
"272","Finnmark","Alta",2012,"2016","70 OG OVER",8,11
"273","Finnmark","Alta",2012,"2017","<20",1,0
"274","Finnmark","Alta",2012,"2017","20-29",6,2
"275","Finnmark","Alta",2012,"2017","30-39",8,1
"276","Finnmark","Alta",2012,"2017","40-49",11,4
"277","Finnmark","Alta",2012,"2017","50-59",15,5
"278","Finnmark","Alta",2012,"2017","60-66",5,6
"279","Finnmark","Alta",2012,"2017","67-69",6,2
"280","Finnmark","Alta",2012,"2017","70 OG OVER",9,10
"281","Finnmark","Alta",2012,"2018","<20",0,0
"282","Finnmark","Alta",2012,"2018","20-29",7,2
"283","Finnmark","Alta",2012,"2018","30-39",7,2
"284","Finnmark","Alta",2012,"2018","40-49",11,3
"285","Finnmark","Alta",2012,"2018","50-59",15,7
"286","Finnmark","Alta",2012,"2018","60-66",7,5
"287","Finnmark","Alta",2012,"2018","67-69",5,0
"288","Finnmark","Alta",2012,"2018","70 OG OVER",10,11
"289","Finnmark","Alta",2012,"2019","<20",2,0
"290","Finnmark","Alta",2012,"2019","20-29",7,0
"291","Finnmark","Alta",2012,"2019","30-39",8,2
"292","Finnmark","Alta",2012,"2019","40-49",10,1
"293","Finnmark","Alta",2012,"2019","50-59",18,6
"294","Finnmark","Alta",2012,"2019","60-66",5,4
"295","Finnmark","Alta",2012,"2019","67-69",1,1
"296","Finnmark","Alta",2012,"2019","70 OG OVER",11,11
"297","Finnmark","Berlevåg",2024,"1983","<20",4,0
"298","Finnmark","Berlevåg",2024,"1983","20-29",10,0
"299","Finnmark","Berlevåg",2024,"1983","30-39",26,1
"300","Finnmark","Berlevåg",2024,"1983","40-49",20,1
"301","Finnmark","Berlevåg",2024,"1983","50-59",13,1
"302","Finnmark","Berlevåg",2024,"1983","60-66",9,0
"303","Finnmark","Berlevåg",2024,"1983","67-69",0,0
"304","Finnmark","Berlevåg",2024,"1983","70 OG OVER",0,1
"305","Finnmark","Berlevåg",2024,"1984","<20",3,0
"306","Finnmark","Berlevåg",2024,"1984","20-29",10,0
"307","Finnmark","Berlevåg",2024,"1984","30-39",24,0
"308","Finnmark","Berlevåg",2024,"1984","40-49",21,1
"309","Finnmark","Berlevåg",2024,"1984","50-59",12,1
"310","Finnmark","Berlevåg",2024,"1984","60-66",9,0
"311","Finnmark","Berlevåg",2024,"1984","67-69",0,0
"312","Finnmark","Berlevåg",2024,"1984","70 OG OVER",0,0
"313","Finnmark","Berlevåg",2024,"1985","<20",3,0
"314","Finnmark","Berlevåg",2024,"1985","20-29",11,0
"315","Finnmark","Berlevåg",2024,"1985","30-39",17,0
"316","Finnmark","Berlevåg",2024,"1985","40-49",23,1
"317","Finnmark","Berlevåg",2024,"1985","50-59",11,1
"318","Finnmark","Berlevåg",2024,"1985","60-66",7,2
"319","Finnmark","Berlevåg",2024,"1985","67-69",0,0
"320","Finnmark","Berlevåg",2024,"1985","70 OG OVER",0,0
"321","Finnmark","Berlevåg",2024,"1986","<20",2,0
"322","Finnmark","Berlevåg",2024,"1986","20-29",12,0
"323","Finnmark","Berlevåg",2024,"1986","30-39",14,1
"324","Finnmark","Berlevåg",2024,"1986","40-49",24,0
"325","Finnmark","Berlevåg",2024,"1986","50-59",12,3
"326","Finnmark","Berlevåg",2024,"1986","60-66",3,4
"327","Finnmark","Berlevåg",2024,"1986","67-69",1,0
"328","Finnmark","Berlevåg",2024,"1986","70 OG OVER",0,0
"329","Finnmark","Berlevåg",2024,"1987","<20",2,0
"330","Finnmark","Berlevåg",2024,"1987","20-29",14,0
"331","Finnmark","Berlevåg",2024,"1987","30-39",12,1
"332","Finnmark","Berlevåg",2024,"1987","40-49",28,0
"333","Finnmark","Berlevåg",2024,"1987","50-59",11,3
"334","Finnmark","Berlevåg",2024,"1987","60-66",3,4
"335","Finnmark","Berlevåg",2024,"1987","67-69",1,0
"336","Finnmark","Berlevåg",2024,"1987","70 OG OVER",0,0
"337","Finnmark","Berlevåg",2024,"1988","<20",2,0
"338","Finnmark","Berlevåg",2024,"1988","20-29",18,0
"339","Finnmark","Berlevåg",2024,"1988","30-39",18,1
"340","Finnmark","Berlevåg",2024,"1988","40-49",27,1
"341","Finnmark","Berlevåg",2024,"1988","50-59",13,4
"342","Finnmark","Berlevåg",2024,"1988","60-66",3,3
"343","Finnmark","Berlevåg",2024,"1988","67-69",1,2
"344","Finnmark","Berlevåg",2024,"1988","70 OG OVER",0,0
"345","Finnmark","Berlevåg",2024,"1989","<20",2,0
"346","Finnmark","Berlevåg",2024,"1989","20-29",18,0
"347","Finnmark","Berlevåg",2024,"1989","30-39",16,1
"348","Finnmark","Berlevåg",2024,"1989","40-49",28,1
"349","Finnmark","Berlevåg",2024,"1989","50-59",13,4
"350","Finnmark","Berlevåg",2024,"1989","60-66",3,3
"351","Finnmark","Berlevåg",2024,"1989","67-69",0,2
"352","Finnmark","Berlevåg",2024,"1989","70 OG OVER",1,0
"353","Finnmark","Berlevåg",2024,"1990","<20",1,0
"354","Finnmark","Berlevåg",2024,"1990","20-29",14,0
"355","Finnmark","Berlevåg",2024,"1990","30-39",16,0
"356","Finnmark","Berlevåg",2024,"1990","40-49",26,1
"357","Finnmark","Berlevåg",2024,"1990","50-59",18,4
"358","Finnmark","Berlevåg",2024,"1990","60-66",1,2
"359","Finnmark","Berlevåg",2024,"1990","67-69",1,4
"360","Finnmark","Berlevåg",2024,"1990","70 OG OVER",1,0
"361","Finnmark","Berlevåg",2024,"1991","<20",1,0
"362","Finnmark","Berlevåg",2024,"1991","20-29",15,0
"363","Finnmark","Berlevåg",2024,"1991","30-39",12,0
"364","Finnmark","Berlevåg",2024,"1991","40-49",20,1
"365","Finnmark","Berlevåg",2024,"1991","50-59",21,3
"366","Finnmark","Berlevåg",2024,"1991","60-66",2,2
"367","Finnmark","Berlevåg",2024,"1991","67-69",1,3
"368","Finnmark","Berlevåg",2024,"1991","70 OG OVER",1,1
"369","Finnmark","Berlevåg",2024,"1992","<20",0,0
"370","Finnmark","Berlevåg",2024,"1992","20-29",14,0
"371","Finnmark","Berlevåg",2024,"1992","30-39",8,0
"372","Finnmark","Berlevåg",2024,"1992","40-49",19,1
"373","Finnmark","Berlevåg",2024,"1992","50-59",19,5
"374","Finnmark","Berlevåg",2024,"1992","60-66",2,3
"375","Finnmark","Berlevåg",2024,"1992","67-69",1,3
"376","Finnmark","Berlevåg",2024,"1992","70 OG OVER",1,1
"377","Finnmark","Berlevåg",2024,"1993","<20",0,0
"378","Finnmark","Berlevåg",2024,"1993","20-29",13,1
"379","Finnmark","Berlevåg",2024,"1993","30-39",9,0
"380","Finnmark","Berlevåg",2024,"1993","40-49",16,1
"381","Finnmark","Berlevåg",2024,"1993","50-59",22,4
"382","Finnmark","Berlevåg",2024,"1993","60-66",1,5
"383","Finnmark","Berlevåg",2024,"1993","67-69",0,0
"384","Finnmark","Berlevåg",2024,"1993","70 OG OVER",1,3
"385","Finnmark","Berlevåg",2024,"1994","<20",0,0
"386","Finnmark","Berlevåg",2024,"1994","20-29",4,1
"387","Finnmark","Berlevåg",2024,"1994","30-39",13,0
"388","Finnmark","Berlevåg",2024,"1994","40-49",5,2
"389","Finnmark","Berlevåg",2024,"1994","50-59",16,5
"390","Finnmark","Berlevåg",2024,"1994","60-66",3,4
"391","Finnmark","Berlevåg",2024,"1994","67-69",0,1
"392","Finnmark","Berlevåg",2024,"1994","70 OG OVER",1,1
"393","Finnmark","Berlevåg",2024,"1995","<20",0,1
"394","Finnmark","Berlevåg",2024,"1995","20-29",4,2
"395","Finnmark","Berlevåg",2024,"1995","30-39",16,0
"396","Finnmark","Berlevåg",2024,"1995","40-49",12,2
"397","Finnmark","Berlevåg",2024,"1995","50-59",20,5
"398","Finnmark","Berlevåg",2024,"1995","60-66",3,3
"399","Finnmark","Berlevåg",2024,"1995","67-69",0,2
"400","Finnmark","Berlevåg",2024,"1995","70 OG OVER",0,2
"401","Finnmark","Berlevåg",2024,"1996","<20",0,1
"402","Finnmark","Berlevåg",2024,"1996","20-29",5,3
"403","Finnmark","Berlevåg",2024,"1996","30-39",13,0
"404","Finnmark","Berlevåg",2024,"1996","40-49",12,2
"405","Finnmark","Berlevåg",2024,"1996","50-59",18,5
"406","Finnmark","Berlevåg",2024,"1996","60-66",5,4
"407","Finnmark","Berlevåg",2024,"1996","67-69",0,2
"408","Finnmark","Berlevåg",2024,"1996","70 OG OVER",0,2
"409","Finnmark","Berlevåg",2024,"1997","<20",0,1
"410","Finnmark","Berlevåg",2024,"1997","20-29",3,1
"411","Finnmark","Berlevåg",2024,"1997","30-39",16,0
"412","Finnmark","Berlevåg",2024,"1997","40-49",12,0
"413","Finnmark","Berlevåg",2024,"1997","50-59",19,5
"414","Finnmark","Berlevåg",2024,"1997","60-66",5,4
"415","Finnmark","Berlevåg",2024,"1997","67-69",0,1
"416","Finnmark","Berlevåg",2024,"1997","70 OG OVER",0,3
"417","Finnmark","Berlevåg",2024,"1998","<20",4,0
"418","Finnmark","Berlevåg",2024,"1998","20-29",5,1
"419","Finnmark","Berlevåg",2024,"1998","30-39",11,0
"420","Finnmark","Berlevåg",2024,"1998","40-49",12,0
"421","Finnmark","Berlevåg",2024,"1998","50-59",17,5
"422","Finnmark","Berlevåg",2024,"1998","60-66",7,4
"423","Finnmark","Berlevåg",2024,"1998","67-69",0,1
"424","Finnmark","Berlevåg",2024,"1998","70 OG OVER",0,3
"425","Finnmark","Berlevåg",2024,"1999","<20",2,0
"426","Finnmark","Berlevåg",2024,"1999","20-29",11,1
"427","Finnmark","Berlevåg",2024,"1999","30-39",15,0
"428","Finnmark","Berlevåg",2024,"1999","40-49",12,0
"429","Finnmark","Berlevåg",2024,"1999","50-59",19,5
"430","Finnmark","Berlevåg",2024,"1999","60-66",8,3
"431","Finnmark","Berlevåg",2024,"1999","67-69",1,1
"432","Finnmark","Berlevåg",2024,"1999","70 OG OVER",0,3
"433","Finnmark","Berlevåg",2024,"2000","<20",1,0
"434","Finnmark","Berlevåg",2024,"2000","20-29",12,1
"435","Finnmark","Berlevåg",2024,"2000","30-39",17,0
"436","Finnmark","Berlevåg",2024,"2000","40-49",10,0
"437","Finnmark","Berlevåg",2024,"2000","50-59",19,4
"438","Finnmark","Berlevåg",2024,"2000","60-66",8,2
"439","Finnmark","Berlevåg",2024,"2000","67-69",1,3
"440","Finnmark","Berlevåg",2024,"2000","70 OG OVER",0,3
"441","Finnmark","Berlevåg",2024,"2001","<20",0,0
"442","Finnmark","Berlevåg",2024,"2001","20-29",7,2
"443","Finnmark","Berlevåg",2024,"2001","30-39",20,1
"444","Finnmark","Berlevåg",2024,"2001","40-49",11,0
"445","Finnmark","Berlevåg",2024,"2001","50-59",15,3
"446","Finnmark","Berlevåg",2024,"2001","60-66",10,3
"447","Finnmark","Berlevåg",2024,"2001","67-69",2,2
"448","Finnmark","Berlevåg",2024,"2001","70 OG OVER",0,3
"449","Finnmark","Berlevåg",2024,"2002","<20",0,0
"450","Finnmark","Berlevåg",2024,"2002","20-29",6,1
"451","Finnmark","Berlevåg",2024,"2002","30-39",19,1
"452","Finnmark","Berlevåg",2024,"2002","40-49",10,1
"453","Finnmark","Berlevåg",2024,"2002","50-59",16,1
"454","Finnmark","Berlevåg",2024,"2002","60-66",8,2
"455","Finnmark","Berlevåg",2024,"2002","67-69",0,3
"456","Finnmark","Berlevåg",2024,"2002","70 OG OVER",1,2
"457","Finnmark","Berlevåg",2024,"2003","<20",0,0
"458","Finnmark","Berlevåg",2024,"2003","20-29",4,1
"459","Finnmark","Berlevåg",2024,"2003","30-39",17,3
"460","Finnmark","Berlevåg",2024,"2003","40-49",10,2
"461","Finnmark","Berlevåg",2024,"2003","50-59",15,1
"462","Finnmark","Berlevåg",2024,"2003","60-66",9,3
"463","Finnmark","Berlevåg",2024,"2003","67-69",0,1
"464","Finnmark","Berlevåg",2024,"2003","70 OG OVER",0,4
"465","Finnmark","Berlevåg",2024,"2004","<20",0,0
"466","Finnmark","Berlevåg",2024,"2004","20-29",5,1
"467","Finnmark","Berlevåg",2024,"2004","30-39",13,3
"468","Finnmark","Berlevåg",2024,"2004","40-49",11,2
"469","Finnmark","Berlevåg",2024,"2004","50-59",10,2
"470","Finnmark","Berlevåg",2024,"2004","60-66",14,2
