Year,smfleets_count_new,Kommunenr_new,allfleets_count_new,small_fleet_prop
2006,7,2022,60,0.11666666666666667
2006,11,2023,61,0.18032786885245902
2006,12,2024,32,0.375
2006,1,2025,22,0.045454545454545456
2006,2,2027,20,0.1
2006,14,2028,54,0.25925925925925924
2006,0,2030,26,0
2007,5,1903,45,0.1111111111111111
2007,1,1805,4,0.25
2007,0,1811,11,0
2007,0,1812,12,0
2007,8,1813,57,0.14035087719298245
2007,1,1815,40,0.025
2007,0,1816,14,0
2007,6,1818,53,0.11320754716981132
2007,4,1820,28,0.14285714285714285
2007,2,1822,6,0.3333333333333333
2007,1,1824,5,0.2
2007,0,1827,27,0
2007,1,1828,2,0.5
2007,0,1832,1,0
2007,0,1833,1,0
2007,10,1834,69,0.14492753623188406
2007,6,1835,32,0.1875
2007,6,1836,53,0.11320754716981132
2007,10,1837,78,0.1282051282051282
2007,6,1838,30,0.2
2007,1,1840,2,0.5
2007,0,1841,5,0
2007,1,1845,14,0.07142857142857142
2007,5,1848,55,0.09090909090909091
2007,3,1849,13,0.23076923076923078
2007,4,1850,14,0.2857142857142857
2007,0,1851,30,0
2007,1,1852,8,0.125
2007,0,1853,2,0
2007,1,1854,5,0.2
2007,19,1856,66,0.2878787878787879
2007,13,1857,61,0.21311475409836064
2007,21,1859,107,0.19626168224299065
2007,34,1860,181,0.1878453038674033
2007,23,1865,147,0.1564625850340136
2007,4,1866,45,0.08888888888888889
2007,11,1867,77,0.14285714285714285
2007,21,1868,104,0.20192307692307693
2007,4,1870,33,0.12121212121212122
2007,7,1871,83,0.08433734939759036
2007,18,1874,115,0.1565217391304348
2007,24,1902,320,0.075
2007,0,1911,15,0
2007,0,1913,7,0
2007,4,1917,23,0.17391304347826086
2007,0,1919,3,0
2007,2,1920,3,0.6666666666666666
2007,0,1923,2,0
2007,0,1924,2,0
2007,0,1925,6,0
2007,0,1926,3,0
2007,4,1927,22,0.18181818181818182
2007,6,1928,50,0.12
2007,4,1929,49,0.08163265306122448
2007,26,1931,155,0.16774193548387098
2007,1,1933,30,0.03333333333333333
2007,24,1936,192,0.125
2007,7,1938,46,0.15217391304347827
2007,1,1939,10,0.1
2007,0,1940,25,0
2007,8,1941,109,0.07339449541284404
2007,0,1942,33,0
2007,3,1943,49,0.061224489795918366
2007,16,1804,101,0.15841584158415842
2007,10,2002,55,0.18181818181818182
2007,5,2003,29,0.1724137931034483
2007,17,2004,130,0.13076923076923078
2007,5,2012,112,0.044642857142857144
2007,11,2014,74,0.14864864864864866
2007,7,2015,51,0.13725490196078433
2007,0,2017,25,0
2007,13,2018,115,0.11304347826086956
2007,21,2019,140,0.15
2007,0,2020,22,0
2007,7,2022,58,0.1206896551724138
2007,10,2023,62,0.16129032258064516
2007,12,2024,32,0.375
2007,1,2025,16,0.0625
2007,2,2027,20,0.1
2007,11,2028,49,0.22448979591836735
2007,0,2030,25,0
2008,5,1903,42,0.11904761904761904
2008,1,1805,4,0.25
2008,0,1811,11,0
2008,0,1812,12,0
2008,10,1813,59,0.1694915254237288
2008,1,1815,35,0.02857142857142857
2008,0,1816,13,0
2008,5,1818,47,0.10638297872340426
2008,3,1820,26,0.11538461538461539
2008,2,1822,6,0.3333333333333333
2008,1,1824,5,0.2
2008,0,1827,30,0
2008,0,1828,3,0
2008,0,1832,1,0
2008,0,1833,2,0
2008,8,1834,73,0.1095890410958904
2008,6,1835,30,0.2
2008,5,1836,49,0.10204081632653061
2008,10,1837,78,0.1282051282051282
2008,6,1838,29,0.20689655172413793
2008,1,1840,2,0.5
2008,0,1841,5,0
2008,1,1845,13,0.07692307692307693
2008,5,1848,49,0.10204081632653061
2008,2,1849,12,0.16666666666666666
2008,4,1850,12,0.3333333333333333
2008,0,1851,24,0
2008,1,1852,4,0.25
2008,0,1853,2,0
2008,1,1854,5,0.2
2008,18,1856,66,0.2727272727272727
2008,14,1857,56,0.25
2008,18,1859,99,0.18181818181818182
2008,33,1860,177,0.1864406779661017
2008,16,1865,135,0.11851851851851852
2008,4,1866,43,0.09302325581395349
2008,9,1867,71,0.1267605633802817
2008,20,1868,106,0.18867924528301888
2008,2,1870,32,0.0625
2008,4,1871,74,0.05405405405405406
2008,20,1874,106,0.18867924528301888
2008,26,1902,328,0.07926829268292683
2008,0,1911,15,0
2008,0,1913,7,0
2008,2,1917,22,0.09090909090909091
2008,0,1919,4,0
2008,1,1920,2,0.5
2008,0,1923,2,0
2008,0,1924,2,0
2008,0,1925,5,0
2008,0,1926,4,0
2008,4,1927,20,0.2
2008,5,1928,47,0.10638297872340426
2008,5,1929,42,0.11904761904761904
2008,26,1931,143,0.18181818181818182
2008,2,1933,28,0.07142857142857142
2008,20,1936,180,0.1111111111111111
2008,7,1938,44,0.1590909090909091
2008,1,1939,10,0.1
2008,0,1940,28,0
2008,10,1941,109,0.09174311926605505
2008,0,1942,29,0
2008,4,1943,45,0.08888888888888889
2008,15,1804,95,0.15789473684210525
2008,7,2002,50,0.14
2008,3,2003,28,0.10714285714285714
2008,12,2004,119,0.10084033613445378
2008,3,2012,111,0.02702702702702703
2008,11,2014,69,0.15942028985507245
2008,9,2015,54,0.16666666666666666
2008,1,2017,26,0.038461538461538464
2008,12,2018,101,0.1188118811881188
2008,17,2019,128,0.1328125
2008,0,2020,19,0
2008,6,2022,59,0.1016949152542373
2008,9,2023,56,0.16071428571428573
2008,10,2024,29,0.3448275862068966
2008,1,2025,28,0.03571428571428571
2008,2,2027,20,0.1
2008,9,2028,49,0.1836734693877551
2008,0,2030,25,0
2009,5,1903,46,0.10869565217391304
2009,1,1805,4,0.25
2009,0,1811,10,0
2009,0,1812,13,0
2009,9,1813,56,0.16071428571428573
2009,1,1815,35,0.02857142857142857
2009,0,1816,10,0
2009,5,1818,42,0.11904761904761904
2009,3,1820,22,0.13636363636363635
2009,2,1822,5,0.4
2009,0,1824,5,0
2009,1,1827,26,0.038461538461538464
2009,0,1828,4,0
2009,0,1832,1,0
2009,0,1833,3,0
2009,8,1834,72,0.1111111111111111
2009,6,1835,32,0.1875
2009,5,1836,49,0.10204081632653061
2009,8,1837,69,0.11594202898550725
2009,6,1838,30,0.2
2009,0,1840,2,0
2009,0,1841,6,0
2009,1,1845,13,0.07692307692307693
2009,5,1848,51,0.09803921568627451
2009,2,1849,11,0.18181818181818182
2009,3,1850,10,0.3
2009,0,1851,19,0
2009,1,1852,4,0.25
2009,0,1853,2,0
2009,1,1854,4,0.25
2009,17,1856,63,0.2698412698412698
2009,13,1857,58,0.22413793103448276
2009,14,1859,94,0.14893617021276595
2009,34,1860,164,0.2073170731707317
2009,17,1865,134,0.12686567164179105
2009,4,1866,44,0.09090909090909091
2009,9,1867,68,0.1323529411764706
2009,23,1868,106,0.2169811320754717
2009,2,1870,32,0.0625
2009,6,1871,69,0.08695652173913043
2009,19,1874,99,0.1919191919191919
2009,26,1902,307,0.08469055374592833
2009,0,1911,14,0
2009,0,1913,7,0
2009,2,1917,23,0.08695652173913043
2009,0,1919,4,0
2009,1,1920,2,0.5
2009,0,1923,2,0
2009,0,1924,2,0
2009,0,1925,4,0
2009,0,1926,5,0
2009,4,1927,11,0.36363636363636365
2009,5,1928,40,0.125
2009,4,1929,42,0.09523809523809523
2009,24,1931,136,0.17647058823529413
2009,2,1933,31,0.06451612903225806
2009,18,1936,168,0.10714285714285714
2009,4,1938,40,0.1
2009,2,1939,12,0.16666666666666666
2009,0,1940,25,0
2009,11,1941,102,0.10784313725490197
2009,0,1942,28,0
2009,4,1943,44,0.09090909090909091
2009,17,1804,89,0.19101123595505617
2009,8,2002,50,0.16
2009,4,2003,31,0.12903225806451613
2009,7,2004,103,0.06796116504854369
2009,3,2012,102,0.029411764705882353
2009,10,2014,65,0.15384615384615385
2009,8,2015,44,0.18181818181818182
2009,1,2017,21,0.047619047619047616
2009,14,2018,99,0.1414141414141414
2009,17,2019,120,0.14166666666666666
2009,0,2020,18,0
2009,7,2022,60,0.11666666666666667
2009,9,2023,58,0.15517241379310345
2009,9,2024,23,0.391304347826087
2009,2,2025,33,0.06060606060606061
2009,2,2027,22,0.09090909090909091
2009,9,2028,51,0.17647058823529413
2009,0,2030,22,0
2010,5,1903,44,0.11363636363636363
2010,1,1805,4,0.25
2010,0,1811,9,0
2010,0,1812,13,0
2010,8,1813,53,0.1509433962264151
2010,1,1815,33,0.030303030303030304
2010,0,1816,10,0
2010,4,1818,40,0.1
2010,3,1820,22,0.13636363636363635
2010,2,1822,5,0.4
2010,0,1824,5,0
2010,1,1827,28,0.03571428571428571
2010,1,1828,6,0.16666666666666666
2010,0,1832,1,0
2010,0,1833,4,0
2010,8,1834,65,0.12307692307692308
2010,6,1835,30,0.2
2010,6,1836,52,0.11538461538461539
2010,9,1837,71,0.1267605633802817
2010,6,1838,27,0.2222222222222222
2010,0,1840,2,0
2010,0,1841,5,0
2010,1,1845,13,0.07692307692307693
2010,5,1848,51,0.09803921568627451
2010,2,1849,12,0.16666666666666666
2010,2,1850,10,0.2
2010,0,1851,18,0
2010,1,1852,4,0.25
2010,0,1853,2,0
2010,1,1854,4,0.25
2010,17,1856,60,0.2833333333333333
2010,11,1857,59,0.1864406779661017
2010,13,1859,93,0.13978494623655913
2010,31,1860,153,0.20261437908496732
2010,13,1865,115,0.11304347826086956
2010,3,1866,40,0.075
2010,9,1867,64,0.140625
2010,22,1868,103,0.21359223300970873
2010,2,1870,28,0.07142857142857142
2010,6,1871,73,0.0821917808219178
2010,21,1874,103,0.20388349514563106
2010,28,1902,283,0.0989399293286219
2010,0,1911,14,0
2010,0,1913,5,0
2010,1,1917,21,0.047619047619047616
2010,0,1919,3,0
2010,1,1920,2,0.5
2010,1,1923,2,0.5
2010,0,1924,1,0
2010,0,1925,4,0
2010,0,1926,5,0
2010,4,1927,10,0.4
2010,5,1928,36,0.1388888888888889
2010,5,1929,39,0.1282051282051282
2010,21,1931,123,0.17073170731707318
2010,2,1933,27,0.07407407407407407
2010,18,1936,156,0.11538461538461539
2010,5,1938,34,0.14705882352941177
2010,1,1939,11,0.09090909090909091
2010,0,1940,24,0
2010,8,1941,94,0.0851063829787234
2010,0,1942,29,0
2010,4,1943,39,0.10256410256410256
2010,20,1804,90,0.2222222222222222
2010,7,2002,49,0.14285714285714285
2010,5,2003,38,0.13157894736842105
2010,6,2004,94,0.06382978723404255
2010,7,2012,107,0.06542056074766354
2010,10,2014,61,0.16393442622950818
2010,8,2015,44,0.18181818181818182
2010,1,2017,18,0.05555555555555555
2010,15,2018,91,0.16483516483516483
2010,16,2019,116,0.13793103448275862
2010,0,2020,18,0
2010,6,2022,64,0.09375
2010,7,2023,58,0.1206896551724138
2010,7,2024,24,0.2916666666666667
2010,3,2025,35,0.08571428571428572
2010,2,2027,25,0.08
2010,6,2028,48,0.125
2010,0,2030,20,0
2011,5,1903,42,0.11904761904761904
2011,1,1805,4,0.25
2011,0,1811,8,0
2011,0,1812,12,0
2011,10,1813,52,0.19230769230769232
2011,1,1815,32,0.03125
2011,1,1816,6,0.16666666666666666
2011,4,1818,39,0.10256410256410256
2011,3,1820,23,0.13043478260869565
2011,2,1822,6,0.3333333333333333
2011,0,1824,7,0
2011,1,1827,31,0.03225806451612903
2011,1,1828,6,0.16666666666666666
2011,0,1832,1,0
2011,0,1833,3,0
2011,8,1834,65,0.12307692307692308
