"water_entity_id","okologisk_tilstand","okologisk_palitelighetsgrad","kjemisk_tilstand","kjemisk_palitelighetsgrad","num_status_eco","num_status_chem"
"skogsfjorden_0402021700-c","god","lav","ukjent","lav",75,NA
"grotoya_-_arnoya_0403000030-c","god","lav","ukjent","lav",75,NA
"andamsfjord_0403010100-c","svaert_god","lav","ukjent","lav",100,NA
"grotoysundet_0403010200-c","svaert_god","lav","ukjent","lav",100,NA
"bardsetsundet_0403010300-c","svaert_god","lav","ukjent","lav",100,NA
"kvaloysundet_0403010400-c","svaert_god","lav","ukjent","lav",100,NA
"helgoysundet_0403010500-c","svaert_god","lav","ukjent","lav",100,NA
"dafjorden_0403010600-c","god","lav","ukjent","lav",75,NA
"vannsundet_0403010700-c","god","lav","ukjent","lav",75,NA
"grunnfjorden_0403010800-c","god","lav","ukjent","lav",75,NA
"langsundet_0403010900-c","svaert_god","middels","ukjent","lav",100,NA
"hamrefjorden_0403011000-c","svaert_god","lav","ukjent","lav",100,NA
"rasa_0403011100-2-c","svaert_god","lav","ukjent","lav",100,NA
"sorskardvagen_0403011200-c","svaert_god","lav","ukjent","lav",100,NA
"fugloyfjorden_0403020100-c","svaert_god","lav","ukjent","lav",100,NA
"buroysundet_0403020200-c","svaert_god","lav","ukjent","lav",100,NA
"skipsfjorden_0403020300-c","svaert_god","lav","ukjent","lav",100,NA
"kristoffervalen_0403020400-1-c","god","lav","ukjent","lav",75,NA
"skoroysundet_0403020400-2-c","svaert_god","lav","ukjent","lav",100,NA
"storstraumen_ytre_-_ullsfjorden_0403020500-1-c","god","lav","ukjent","lav",75,NA
"ullsfjorden_0403020500-2-c","god","lav","ukjent","lav",75,NA
"sjovassbotn_0403020601-1-c","god","lav","ukjent","lav",75,NA
"sorfjorden-indre_0403020601-2-c","god","lav","ukjent","lav",75,NA
"storstraumen_indre_-_ullsfjorden_0403020602-1-c","god","lav","ukjent","lav",75,NA
"sorfjorden-ytre_0403020602-2-c","god","lav","ukjent","lav",75,NA
"kjosen_0403020700-c","god","lav","ukjent","lav",75,NA
"sorlenangen_0403020800-c","god","lav","ukjent","lav",75,NA
"nordlenangen_-_straumen_0403020900-c","god","lav","ukjent","lav",75,NA
