"municip_name","municip_number","water_entity_id","vannregion","vannomrade","vassdragomrade","area_m2"
"Flakstad",1859,"Vestfjorden-midtre_0363000030-12-C","Nordland","Lofoten","169",125166992.877674
"Vågan",1865,"Vestfjorden-midtre_0363000030-12-C","Nordland","Lofoten","169",316650684.226333
"Steigen",1848,"Vestfjorden-midtre_0363000030-12-C","Nordland","Lofoten","169",1346523078.88834
"Vestvågøy",1860,"Vestfjorden-midtre_0363000030-12-C","Nordland","Lofoten","169",759615289.369793
"Bodø",1804,"Vestfjorden-midtre_0363000030-12-C","Nordland","Lofoten","169",1393445775.11222
"Røst",1856,"Vestfjorden-midtre_0363000030-12-C","Nordland","Lofoten","169",779094823.392038
"Meløy",1837,"Vestfjorden-midtre_0363000030-12-C","Nordland","Lofoten","169",103874870.946993
"Moskenes",1874,"Vestfjorden-midtre_0363000030-12-C","Nordland","Lofoten","169",602112003.395211
"Bø",1867,"Steinesjøen_0365000030-5-C","Nordland","Vesterålen","185",169252.732130381
"Bø",1867,"Vesterålsfjorden_0365000030-4-C","Nordland","Vesterålen","185",247833304.533782
"Hadsel",1866,"Vesterålsfjorden_0365000030-4-C","Nordland","Vesterålen","185",188137725.640428
"Lødingen",1851,"Lødingen Havn_0364040300-5-C","Nordland","Ofotfjorden","177",151949.022214017
"Nordreisa",1942,"Straumfjorden_0403040500-1-C","Troms","Nordreisa - Kvænangen","208",10064814.8307984
"Båtsfjord",2028,"Neptunbukt - Foma_0423020200-7-C","Finnmark","Varangerhalvøya","237",41538.8850060375
"Båtsfjord",2028,"Neptunbukta_0423020200-8-C","Finnmark","Varangerhalvøya","237",202398.949648636
"Alta",2012,"Bukta og utløpet til Altaelva_0420030600-5-C","Finnmark","Alta, Kautokeino, Loppa og Stjernøya","212",5800867.17926324
"Båtsfjord",2028,"Syltefjorden - Nordfjorden innenfor molo_0423020300-1-C","Finnmark","Varangerhalvøya","237",39607.6016284078
"Båtsfjord",2028,"Syltefjorden - deponi_0423020300-5-C","Finnmark","Varangerhalvøya","237",146494.640067047
"Båtsfjord",2028,"Syltefjorden_0423020300-4-C","Finnmark","Varangerhalvøya","237",79470018.9593233
"Saltdal",1840,"Rognan_0363020700-1-C","Nordland","Skjerstadfjorden","163",451985.114925419
"Dyrøy",1926,"Dyrøysundet Dyreøysundbrua_0401030700-2-C","Troms","Senja","193",647805.625523075
"Dyrøy",1926,"Dyrøysundet_0401030700-1-C","Troms","Senja","193",38479753.2228817
"Nordreisa",1942,"Straumfjordnes - Straumfjorden_0403040500-2-C","Troms","Nordreisa - Kvænangen","208",917232.397941414
"Vestvågøy",1860,"Buksnesfjorden-ytre_0363041200-4-C","Nordland","Lofoten","180",14887897.4827102
"Herøy",1818,"Herøysundet_0361050200-3-C","Nordland","Vefsnfjorden - Leirfjorden","154",383375.047214626
"Vega",1815,"Husværfjorden_0361050200-4-C","Nordland","Vefsnfjorden - Leirfjorden","154",24524485.5404079
"Dønna",1827,"Husværfjorden_0361050200-4-C","Nordland","Vefsnfjorden - Leirfjorden","154",862230.303949404
"Herøy",1818,"Husværfjorden_0361050200-4-C","Nordland","Vefsnfjorden - Leirfjorden","154",96651265.6793929
"Steigen",1848,"Helligvær - ytterside Landegode_0363000030-7-C","Nordland","Skjerstadfjorden","165",31244114.9746105
"Gildeskål",1838,"Helligvær - ytterside Landegode_0363000030-7-C","Nordland","Skjerstadfjorden","165",172016954.70607
"Bodø",1804,"Helligvær - ytterside Landegode_0363000030-7-C","Nordland","Skjerstadfjorden","165",1098925924.32796
"Meløy",1837,"Helligvær - ytterside Landegode_0363000030-7-C","Nordland","Skjerstadfjorden","165",162933285.875671
"Vågan",1865,"Kabelvåg havn_0364000030-11-C","Nordland","Lofoten","179",107604.858705018
"Lødingen",1851,"Vestfjorden-indre_0364000030-10-C","Nordland","Lofoten","170",144445457.188501
"Vågan",1865,"Vestfjorden-indre_0364000030-10-C","Nordland","Lofoten","170",574720651.022616
"Steigen",1848,"Vestfjorden-indre_0364000030-10-C","Nordland","Lofoten","170",349996470.720356
"Hamarøy",1849,"Vestfjorden-indre_0364000030-10-C","Nordland","Lofoten","170",292034375.232912
"Tysfjord",1850,"Vestfjorden-indre_0364000030-10-C","Nordland","Lofoten","170",19802984.2370851
"Vestvågøy",1860,"Stamsund havn_0363000030-11-C","Nordland","Lofoten","180",201968.44448552
"Vestvågøy",1860,"Petvik_0363041200-5-C","Nordland","Lofoten","180",907268.609059382
"Alstahaug",1820,"Tjøtta Havn_0361030800-1-C","Nordland","Vefsnfjorden - Leirfjorden","150",456368.290235827
"Vefsn",1824,"Tjøttfjorden-indre_0361030800-2-C","Nordland","Vefsnfjorden - Leirfjorden","150",2430094.99857841
"Alstahaug",1820,"Tjøttfjorden-indre_0361030800-2-C","Nordland","Vefsnfjorden - Leirfjorden","150",47957129.7875881
"Båtsfjord",2028,"Båtsfjord / deponi_0423020200-9-C","Finnmark","Varangerhalvøya","237",21396.5246574963
"Båtsfjord",2028,"Båtsfjorden-ytre_0423020200-10-C","Finnmark","Varangerhalvøya","237",35975456.5125282
"Bø",1867,"Hovden havn_0365000031-1-C","Nordland","Vesterålen","185",53782.9979937141
"Gamvik",2023,"Mehamn havn_0422021200-2-C","Finnmark","Laksefjorden/Norkinnhalvøya","231",328017.340157234
"Alstahaug",1820,"Sandnessjøen småbåthavn_0361040700-4-C","Nordland","Vefsnfjorden - Leirfjorden","150",56810.7702082147
"Dønna",1827,"Ulvangen_0361040700-3-C","Nordland","Vefsnfjorden - Leirfjorden","154",20980761.2774614
"Leirfjord",1822,"Ulvangen_0361040700-3-C","Nordland","Vefsnfjorden - Leirfjorden","154",15362276.8016794
"Alstahaug",1820,"Ulvangen_0361040700-3-C","Nordland","Vefsnfjorden - Leirfjorden","154",4146237.77742073
