"Year","Municip_number","Species","SSB","Stock","Flim","Blim","Fmsy","MSYBtrigger","F","b_score","f_score","stock_score","Total_catch_new","Municip_name_new","catch_runmean","Seaarea","catch_per_area","max_catch_area","weighted_catch","weighted_catch_score","total_tons","catch_prop","fish_score"
2007,"1820","Atlantic cod",653169,"cod.27.1-2",0.74,220000,0.4,460000,0.453,1,0.844117647058824,0.922058823529412,0.105,"Alstahaug",0.207999999999994,397.61,0.00052312567591357,4.60993545856511,0.000113477874173188,0.000104633275156748,0.511633333333327,0.40654114274545,0.00973781440942332
2008,"1820","Atlantic cod",688680,"cod.27.1-2",0.74,220000,0.4,460000,0.319,1,1,1,0.282,"Alstahaug",0.406499999999994,397.61,0.00102235859259072,5.03458199614891,0.000203067224522859,0.000203067224522859,0.79046666666666,0.514253183773296,0.0183443760080823
2009,"1820","Atlantic cod",1099774,"cod.27.1-2",0.74,220000,0.4,460000,0.272,1,1,1,0.8325,"Alstahaug",0.436499999999995,397.61,0.0010978094112321,6.00892485914991,0.00018269647848241,0.00018269647848241,0.81366666666666,0.53646046702171,0.0165603626475926
2010,"1820","Atlantic cod",1398250,"cod.27.1-2",0.74,220000,0.4,460000,0.277,1,1,1,0.195,"Alstahaug",0.562499999999994,397.61,0.0014147028495259,7.75275763086578,0.000182477373456587,0.000182477373456587,960.103133333333,0.000585874559170617,6.84536840555873
2011,"1820","Atlantic cod",2012786,"cod.27.1-2",0.74,220000,0.4,460000,0.268,1,1,1,0.66,"Alstahaug",0.384999999999994,397.61,0.000968285505897725,9.82878396448438,0.0000985152903346494,0.0000985152903346494,2.20156666666666,0.174875467470133,0.179040568123879
2013,"1820","Atlantic cod",2645872,"cod.27.1-2",0.74,220000,0.4,460000,0.271,1,1,1,0.3,"Alstahaug",0.384999999999994,397.61,0.000968285505897725,15.1046429271858,0.0000641051569749439,0.0000641051569749439,0.726933333333326,0.529622157006601,0.022287536052679
1998,"1820","Atlantic herring",5941000,"her.27.1-24a514a",0.291,2500000,0.157,3184000,0.19,1,0.753731343283582,0.876865671641791,21.44,"Alstahaug",21.44,397.61,0.0539221850557079,29.2191136978058,0.00184544218600844,0.00161820490191038,48.5481,0.441623874054803,0.231166816729733
2010,"1820","Atlantic herring",6231000,"her.27.1-24a514a",0.291,2500000,0.157,3184000,0.213,1,0.582089552238806,0.791044776119403,958.917,"Alstahaug",958.917,397.61,2.41170242197128,27.8352037589229,0.0866421687751496,0.0685378350012378,960.103133333333,0.998764577166606,6.84536840555873
1994,"1820","Haddock",165211,"had.27.1-2",0.77,50000,0.35,80000,0.348,1,1,1,17.7744,"Alstahaug",14.7821333333333,397.61,0.0371774687088688,3.0420937661597,0.0122210134093931,0.0122210134093931,102.439766666667,0.144300732170092,0.818523910064606
1995,"1820","Haddock",208941,"had.27.1-2",0.77,50000,0.35,80000,0.328,1,1,1,18.6942,"Alstahaug",14.7821333333333,397.61,0.0371774687088688,3.0420937661597,0.0122210134093931,0.0122210134093931,102.439766666667,0.144300732170092,0.85819545218052
1996,"1820","Haddock",250661,"had.27.1-2",0.77,50000,0.35,80000,0.391,1,0.902380952380952,0.951190476190476,7.8778,"Alstahaug",15.0803333333333,397.61,0.0379274498461642,2.61231849177698,0.0145186928644236,0.0138100423793743,86.6581333333333,0.174020980527313,0.774541781064633
1997,"1820","Haddock",220527,"had.27.1-2",0.77,50000,0.35,80000,0.465,1,0.726190476190476,0.863095238095238,18.669,"Alstahaug",8.86526666666667,397.61,0.0222963875824719,2.6493601360919,0.00841576321721273,0.00726360515771337,42.7231666666667,0.20750490561327,0.403683641089024
