"","Year","Municip_number","Municip_name_new","Species","Spp_year","SSB","Bmsy","SSB.Bmsy","Blim","Seaarea","Total_catch_new","Blim.Bmsy","stock_score"
"115",1994,1865,"Vagan","Cod","Cod_1994",592309,460000,1.28762826086957,220000,1608.35,114812.2434,0.478260869565217,1
"116",1994,1865,"Vagan","Herring","Herring_1994",3431000,3184000,1.07757537688442,2500000,1608.35,85927.937,0.785175879396985,1
"117",1994,1865,"Vagan","Haddock","Haddock_1994",163487,80000,2.0435875,50000,1608.35,3324.1914,0.625,1
"118",1994,1865,"Vagan","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,1608.35,2511.1142,0.618181818181818,0.0816691176470588
"119",1994,1866,"Hadsel","Cod","Cod_1994",592309,460000,1.28762826086957,220000,617.87,1814.5998,0.478260869565217,1
"120",1994,1866,"Hadsel","Herring","Herring_1994",3431000,3184000,1.07757537688442,2500000,617.87,1300.42,0.785175879396985,1
"121",1994,1866,"Hadsel","Haddock","Haddock_1994",163487,80000,2.0435875,50000,617.87,591.5523,0.625,1
"122",1994,1866,"Hadsel","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,617.87,451.1894,0.618181818181818,0.0816691176470588
"123",1994,1867,"Bo","Cod","Cod_1994",592309,460000,1.28762826086957,220000,1579.07,26161.4562,0.478260869565217,1
"124",1994,1867,"Bo","Herring","Herring_1994",3431000,3184000,1.07757537688442,2500000,1579.07,406.965,0.785175879396985,1
"125",1994,1867,"Bo","Haddock","Haddock_1994",163487,80000,2.0435875,50000,1579.07,1027.617,0.625,1
"126",1994,1867,"Bo","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,1579.07,3521.1466,0.618181818181818,0.0816691176470588
"127",1994,1868,"Oksnes","Cod","Cod_1994",592309,460000,1.28762826086957,220000,1495.68,53331.8814,0.478260869565217,1
"128",1994,1868,"Oksnes","Herring","Herring_1994",3431000,3184000,1.07757537688442,2500000,1495.68,591.43,0.785175879396985,1
"129",1994,1868,"Oksnes","Haddock","Haddock_1994",163487,80000,2.0435875,50000,1495.68,3743.1867,0.625,1
"130",1994,1868,"Oksnes","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,1495.68,3783.6616,0.618181818181818,0.0816691176470588
"131",1994,1870,"Sortland","Cod","Cod_1994",592309,460000,1.28762826086957,220000,371.13,10.251,0.478260869565217,1
"132",1994,1870,"Sortland","Herring","Herring_1994",3431000,3184000,1.07757537688442,2500000,371.13,10119.16,0.785175879396985,1
"133",1994,1870,"Sortland","Haddock","Haddock_1994",163487,80000,2.0435875,50000,371.13,0.9618,0.625,1
"134",1994,1870,"Sortland","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,371.13,7.1368,0.618181818181818,0.0816691176470588
"135",1994,1871,"Andoy","Cod","Cod_1994",592309,460000,1.28762826086957,220000,2136.96,32603.1144,0.478260869565217,1
"136",1994,1871,"Andoy","Haddock","Haddock_1994",163487,80000,2.0435875,50000,2136.96,3390.5796,0.625,1
"137",1994,1871,"Andoy","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,2136.96,2184.938,0.618181818181818,0.0816691176470588
"138",1994,1874,"Moskenes","Cod","Cod_1994",592309,460000,1.28762826086957,220000,1473.84,40574.589,0.478260869565217,1
"139",1994,1874,"Moskenes","Haddock","Haddock_1994",163487,80000,2.0435875,50000,1473.84,1554.0879,0.625,1
