Year,Municip_number,Municip_name_new,fish_score,runmean
2013,1933,Balsfjord,0.03403368788025579,NA
2016,1933,Balsfjord,0.2501582565537224,NA
1994,1936,Karlsoy,93.58708897933985,NA
1995,1936,Karlsoy,91.2194802139331,NA
1996,1936,Karlsoy,94.20036632594136,86.20903063014993
1997,1936,Karlsoy,88.55646383419742,75.13332914497553
1998,1936,Karlsoy,63.48175379733791,63.073720827115096
1999,1936,Karlsoy,38.208581553467944,56.77176014312222
2000,1936,Karlsoy,30.92143862463088,55.89696043161903
2001,1936,Karlsoy,62.69056290597698,61.70102281174305
2002,1936,Karlsoy,84.18246527668146,70.26060705802519
2003,1936,Karlsoy,92.50206569795803,80.40179667884543
2004,1936,Karlsoy,81.00650278487858,85.9381973921107
2005,1936,Karlsoy,81.62738672873209,86.24190073322097
2006,1936,Karlsoy,90.37256647230329,85.96128183509416
2007,1936,Karlsoy,85.70098198223286,78.92584128905793
2008,1936,Karlsoy,91.09897120732394,79.29811011238904
2009,1936,Karlsoy,45.82930005469745,77.23163793616015
2010,1936,Karlsoy,83.48873084538766,77.42202795550813
2011,1936,Karlsoy,80.04020559115887,76.8881230279572
2012,1936,Karlsoy,86.65293207897278,85.31757909242472
2013,1936,Karlsoy,88.42944656956925,87.14371077741386
2014,1936,Karlsoy,87.976580377035,88.97856627874931
2015,1936,Karlsoy,92.61938927033339,90.02208559513913
2016,1936,Karlsoy,89.21448309783614,NA
2017,1936,Karlsoy,91.87052866092189,NA
1994,1938,Lyngen,82.48978907633375,NA
1995,1938,Lyngen,91.6545415509974,NA
1996,1938,Lyngen,51.807223069126444,49.652362439393585
1997,1938,Lyngen,5.774346663254289,38.76163074631037
1998,1938,Lyngen,16.53591183725604,20.59726473140491
1999,1938,Lyngen,28.036130610917677,10.25226799489835
2000,1938,Lyngen,0.8327114764700752,9.110603698399368
2005,1938,Lyngen,0.08223938659364981,5.8099393033319675
2008,1938,Lyngen,0.0660251807593778,0.21014442191746915
2010,1938,Lyngen,0.03258986191904237,0.3195083594806084
2011,1938,Lyngen,0.03715620384518589,1.0875655086743066
2012,1938,Lyngen,1.3795311642857713,1.924624208742801
2013,1938,Lyngen,3.9225251325621406,2.6150514795824025
2014,1938,Lyngen,4.25131868110185,4.6975928073899
2015,1938,Lyngen,3.4847262161170516,4.565204378727344
2016,1938,Lyngen,10.44986284288267,NA
2017,1938,Lyngen,0.717589020972996,NA
1994,1939,Storfjord,2.468432488237602,NA
1995,1939,Storfjord,0.6704438529009028,NA
1996,1939,Storfjord,28.857132417755675,25.5933756996152
1997,1939,Storfjord,95.0496887043817,25.22056482259409
1998,1939,Storfjord,0.9211810348001455,31.184350566878482
2004,1939,Storfjord,0.6043781031320217,25.481073073112704
2005,1939,Storfjord,30.489372574322886,NA
2010,1939,Storfjord,0.34074494892678764,NA
1994,1940,Kafjord,4.077140093344493,NA
1995,1940,Kafjord,0.45704486260768373,NA
1996,1940,Kafjord,3.690285279590846,2.24165895760669
1997,1940,Kafjord,1.6879381028616454,1.4529846557299675
1998,1940,Kafjord,1.2958864496287825,7.02199772610187
1999,1940,Kafjord,0.13376858396088048,20.5980409998124
2000,1940,Kafjord,28.3021102144672,38.71862166138731
2001,1940,Kafjord,71.57050164814349,55.17491734705707
2002,1940,Kafjord,92.2908414107362,72.1130222607716
2003,1940,Kafjord,83.57736487797756,83.396356458883
2004,1940,Kafjord,84.8242931525335,85.15690127392438
2005,1940,Kafjord,84.71878120502429,83.12599311541666
2006,1940,Kafjord,80.37322572335039,82.27218522534478
2007,1940,Kafjord,82.13630061819757,75.69051462203534
2008,1940,Kafjord,79.30832542761821,59.334327023167454
2009,1940,Kafjord,51.91594013598624,43.76777930048338
2010,1940,Kafjord,2.937843210684842,27.99671650208153
2011,1940,Kafjord,2.5404871099300688,12.258723148942266
2012,1940,Kafjord,3.280986626188266,12.71656421893648
2013,1940,Kafjord,0.618358661921923,28.43262707472757
2014,1940,Kafjord,54.20514548595731,40.67985148563025
2015,1940,Kafjord,81.5181574896403,54.91745197749223
2016,1940,Kafjord,63.77660916444348,NA
2017,1940,Kafjord,74.46898908549814,NA
1994,1941,Skjervoy,92.19556958170227,NA
1995,1941,Skjervoy,90.71855641447382,NA
1996,1941,Skjervoy,92.4531992029151,90.23161983300847
1997,1941,Skjervoy,98.27116850699196,79.0109756495797
1998,1941,Skjervoy,77.51960545895918,66.73568130412256
1999,1941,Skjervoy,36.092348664558486,62.97479877429788
2000,1941,Skjervoy,29.342084687188095,62.80315935210676
2001,1941,Skjervoy,73.64878655379165,66.74066579174789
2002,1941,Skjervoy,97.41297139603638,78.88295633247336
2003,1941,Skjervoy,97.20713765716482,92.40760196526485
2004,1941,Skjervoy,96.80380136818582,97.1585525063776
2005,1941,Skjervoy,96.96531285114554,97.11448629954423
2006,1941,Skjervoy,97.40353925935544,96.92242190910636
2007,1941,Skjervoy,97.19264036186952,96.98363807489253
2008,1941,Skjervoy,96.24681570497546,97.03908364993477
2009,1941,Skjervoy,97.10988219711666,96.86904544618281
2010,1941,Skjervoy,97.24254072635674,96.72716227637243
2011,1941,Skjervoy,96.55334824059561,96.62030375849909
2012,1941,Skjervoy,96.48322451281761,95.42475964103451
2013,1941,Skjervoy,95.71252311560876,95.56149095259691
2014,1941,Skjervoy,91.1321616097938,95.32279926693079
2015,1941,Skjervoy,97.92619728416877,95.9376087144633
2016,1941,Skjervoy,95.35988981226495,NA
2017,1941,Skjervoy,99.5572717504802,NA
1994,1942,Nordreisa,94.30892286635384,NA
1995,1942,Nordreisa,91.24463062599641,NA
1996,1942,Nordreisa,99.23244484455883,92.1251019839124
1997,1942,Nordreisa,98.84239184822533,81.38922418582897
1998,1942,Nordreisa,76.99711973442757,67.66046121428187
1999,1942,Nordreisa,40.6295338759367,61.89801519064199
2000,1942,Nordreisa,22.60081576826088,60.67912413561565
2001,1942,Nordreisa,70.42021472635949,63.261664273743676
2002,1942,Nordreisa,92.74793657309364,72.15376157688867
2003,1942,Nordreisa,89.90982042506768,84.38673254742656
2004,1942,Nordreisa,85.09002039166164,82.7427089773145
2005,1942,Nordreisa,83.76567062095037,80.9208561598028
2006,1942,Nordreisa,62.200096875799204,80.38224546974831
2007,1942,Nordreisa,83.63867248553504,81.82595021848648
2008,1942,Nordreisa,87.21676697479528,81.67720841843249
2009,1942,Nordreisa,92.30854413535252,86.22824624438893
2010,1942,Nordreisa,83.02196162068039,87.26963509102684
2011,1942,Nordreisa,84.95528600558141,87.24399807354531
2012,1942,Nordreisa,88.84561671872461,85.97743800200843
2013,1942,Nordreisa,87.0885818873876,80.18217990857958
2014,1942,Nordreisa,85.97574377766814,72.97077784495016
2015,1942,Nordreisa,54.04567115353618,66.51820021690777
2016,1942,Nordreisa,48.89827568743426,NA
2017,1942,Nordreisa,56.58272857851265,NA
1994,1943,Kvaenangen,86.3554791246361,NA
1995,1943,Kvaenangen,87.89788819918887,NA
1996,1943,Kvaenangen,94.85676631055273,85.13466634529439
1997,1943,Kvaenangen,92.93098235173026,79.57523278932652
1998,1943,Kvaenangen,63.63221574036402,67.85745701993766
1999,1943,Kvaenangen,58.55831134479674,61.765542336601285
2000,1943,Kvaenangen,29.30900935224454,61.785755324368644
2001,1943,Kvaenangen,64.39719289387085,65.89357516672104
2002,1943,Kvaenangen,93.03204729056706,71.87460062936935
2003,1943,Kvaenangen,84.17131495212595,84.29289178299523
2004,1943,Kvaenangen,88.46343865803836,88.51217798097608
2005,1943,Kvaenangen,91.40046512037395,88.00556538853411
2006,1943,Kvaenangen,85.4936238837751,89.90723318858947
2007,1943,Kvaenangen,90.49898432835718,81.05507841080063
2008,1943,Kvaenangen,93.67965395240277,74.19021890320901
2009,1943,Kvaenangen,44.20266476909411,74.21008450508182
2010,1943,Kvaenangen,57.07616758241594,73.39291984269047
2011,1943,Kvaenangen,85.59295189313916,62.44831940891943
2012,1943,Kvaenangen,86.41316101640042,56.72383741310517
2013,1943,Kvaenangen,38.956651783547485,59.16016061229111
2014,1943,Kvaenangen,15.580254790022876,58.85416526087054
2015,1943,Kvaenangen,69.25778357834561,51.68979512930783
2016,1943,Kvaenangen,84.0629751360363,NA
2017,1943,Kvaenangen,50.591310358586895,NA
1994,2002,Vardo,99.06022883608374,NA
1995,2002,Vardo,95.11898447535285,NA
1996,2002,Vardo,99.34419970978257,94.00102692552973
1997,2002,Vardo,99.30115102552058,80.74190186897495
1998,2002,Vardo,77.18057058090892,63.93931511168698
1999,2002,Vardo,32.76460355330985,56.049177463027924
2000,2002,Vardo,11.106050688913003,53.864468401526764
2001,2002,Vardo,59.89351146648727,55.07800858081373
2002,2002,Vardo,88.37760571801482,65.77268091022947
2003,2002,Vardo,83.2482714773437,80.78137440901756
2004,2002,Vardo,86.23796520038854,85.6555909980658
2005,2002,Vardo,86.14951818285348,85.750800910534565
