"Year","Municip_number","Species","SSB","Stock","Flim","Blim","Fmsy","MSYBtrigger","F","b_score","f_score","stock_score","Total_catch_new","Municip_name_new","Seaarea","catch_per_area","max_catch_area","weighted_catch","weighted_catch_score"
1994,"1841","Saithe",147869,"pok.27.1-2",0.58,136000,NA,220000,0.477,0.141297619047619,NA,0.141297619047619,12.1437,"Fauske",84.29,0.144070470993,103707.501604621,0.00000138920009414806,0.00000019629066568385
1994,"1845","Atlantic cod",591364,"cod.27.1-2",0.74,220000,0.4,460000,0.797,1,0,0.5,81.6375,"Sorfold",192.04,0.425106748594043,244232.387275353,0.00000174058302969773,0.000000870291514848864
1994,"1845","Haddock",165211,"had.27.1-2",0.77,50000,0.35,80000,0.348,1,1,1,23.093,"Sorfold",192.04,0.120250989377213,69976.1695760599,0.00000171845629884767,0.00000171845629884767
1994,"1845","Saithe",147869,"pok.27.1-2",0.58,136000,NA,220000,0.477,0.141297619047619,NA,0.141297619047619,57.4987,"Sorfold",192.04,0.299410018746095,103707.501604621,0.00000288706230613459,0.000000407935029898946
1994,"1845","Shrimp",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,28.094,"Sorfold",192.04,0.146292439075193,80462.0896380397,0.00000181815361412178,0.00000181815361412178
1994,"1848","Atlantic cod",591364,"cod.27.1-2",0.74,220000,0.4,460000,0.797,1,0,0.5,1062.7345,"Steigen",2475.41,0.429316557661155,244232.387275353,0.0000017578199290053,0.000000878909964502648
1994,"1848","Atlantic herring",3452000,"her.27.1-24a514a",0.291,2500000,0.157,3184000,0.126,1,1,1,2135.032,"Steigen",2475.41,0.862496313741966,18466.5279014832,0.0000467059275215832,0.0000467059275215832
1994,"1848","Haddock",165211,"had.27.1-2",0.77,50000,0.35,80000,0.348,1,1,1,140.819,"Steigen",2475.41,0.0568871419280038,69976.1695760599,0.000000812950212517291,0.000000812950212517291
1994,"1848","Saithe",147869,"pok.27.1-2",0.58,136000,NA,220000,0.477,0.141297619047619,NA,0.141297619047619,359.4382,"Steigen",2475.41,0.145203501642152,103707.501604621,0.00000140012534672498,0.000000197834377860462
1994,"1849","Atlantic herring",3452000,"her.27.1-24a514a",0.291,2500000,0.157,3184000,0.126,1,1,1,245.308,"Hamaroy",528.96,0.463755293405929,18466.5279014832,0.0000251132912413211,0.0000251132912413211
1994,"1850","Atlantic cod",591364,"cod.27.1-2",0.74,220000,0.4,460000,0.797,1,0,0.5,549.2175,"Tysfjord",465.3,1.18035138620245,244232.387275353,0.00000483290279135541,0.00000241645139567771
1994,"1850","Atlantic herring",3452000,"her.27.1-24a514a",0.291,2500000,0.157,3184000,0.126,1,1,1,8530.09,"Tysfjord",465.3,18.3324521813884,18466.5279014832,0.000992739527386518,0.000992739527386518
1994,"1850","Haddock",165211,"had.27.1-2",0.77,50000,0.35,80000,0.348,1,1,1,5.3844,"Tysfjord",465.3,0.011571889103804,69976.1695760599,0.000000165368998816462,0.000000165368998816462
1994,"1850","Saithe",147869,"pok.27.1-2",0.58,136000,NA,220000,0.477,0.141297619047619,NA,0.141297619047619,286.0511,"Tysfjord",465.3,0.614767032022351,103707.501604621,0.00000592789357095993,0.000000837597247544326
1994,"1851","Atlantic cod",591364,"cod.27.1-2",0.74,220000,0.4,460000,0.797,1,0,0.5,1098.3678,"Lodingen",516.46,2.12672385083065,244232.387275353,0.00000870778799878387,0.00000435389399939194
1994,"1851","Atlantic herring",3452000,"her.27.1-24a514a",0.291,2500000,0.157,3184000,0.126,1,1,1,1407.745,"Lodingen",516.46,2.72575804515354,18466.5279014832,0.000147605335431498,0.000147605335431498
1994,"1851","Haddock",165211,"had.27.1-2",0.77,50000,0.35,80000,0.348,1,1,1,3.2858,"Lodingen",516.46,0.00636215776633234,69976.1695760599,0.0000000909189200391579,0.0000000909189200391579
1994,"1851","Saithe",147869,"pok.27.1-2",0.58,136000,NA,220000,0.477,0.141297619047619,NA,0.141297619047619,259.8102,"Lodingen",516.46,0.503059675483096,103707.501604621,0.00000485075493768022,0.000000685400123277697
1994,"1852","Atlantic herring",3452000,"her.27.1-24a514a",0.291,2500000,0.157,3184000,0.126,1,1,1,1877.815,"Tjeldsund",125.56,14.955519273654,18466.5279014832,0.000809871750306285,0.000809871750306285
1994,"1853","Atlantic cod",591364,"cod.27.1-2",0.74,220000,0.4,460000,0.797,1,0,0.5,7.995,"Evenes",137.56,0.0581200930503053,244232.387275353,0.000000237970457967065,0.000000118985228983532
1994,"1853","Atlantic herring",3452000,"her.27.1-24a514a",0.291,2500000,0.157,3184000,0.126,1,1,1,5245.337,"Evenes",137.56,38.131266356499,18466.5279014832,0.00206488553559851,0.00206488553559851
1994,"1853","Saithe",147869,"pok.27.1-2",0.58,136000,NA,220000,0.477,0.141297619047619,NA,0.141297619047619,0.297,"Evenes",137.56,0.00215905786565862,103707.501604621,0.0000000208187241255691,0.00000000294163615055213
1994,"1854","Atlantic cod",591364,"cod.27.1-2",0.74,220000,0.4,460000,0.797,1,0,0.5,0.228,"Ballangen",260.93,0.000873797570229563,244232.387275353,0.00000000357773012816857,0.00000000178886506408428
1994,"1854","Atlantic herring",3452000,"her.27.1-24a514a",0.291,2500000,0.157,3184000,0.126,1,1,1,2774.116,"Ballangen",260.93,10.6316483348024,18466.5279014832,0.000575725355168068,0.000575725355168068
1994,"1854","Haddock",165211,"had.27.1-2",0.77,50000,0.35,80000,0.348,1,1,1,0.1624,"Ballangen",260.93,0.000622389146514391,69976.1695760599,0.00000000889430144983703,0.00000000889430144983703
1994,"1854","Saithe",147869,"pok.27.1-2",0.58,136000,NA,220000,0.477,0.141297619047619,NA,0.141297619047619,0.0243,"Ballangen",260.93,0.0000931284252481508,103707.501604621,0.000000000897991213819782,0.000000000126884020438417
1994,"1856","Atlantic cod",591364,"cod.27.1-2",0.74,220000,0.4,460000,0.797,1,0,0.5,9589.6566,"Rost",3361.27,2.85298610346684,244232.387275353,0.0000116814405136626,0.0000058407202568313
1994,"1856","Haddock",165211,"had.27.1-2",0.77,50000,0.35,80000,0.348,1,1,1,267.3705,"Rost",3361.27,0.0795444876490136,69976.1695760599,0.00000113673680812942,0.00000113673680812942
1994,"1856","Saithe",147869,"pok.27.1-2",0.58,136000,NA,220000,0.477,0.141297619047619,NA,0.141297619047619,1104.1255,"Rost",3361.27,0.328484620396457,103707.501604621,0.00000316741426911223,0.000000447548094763013
1994,"1857","Atlantic cod",591364,"cod.27.1-2",0.74,220000,0.4,460000,0.797,1,0,0.5,6810.4978,"Vaeroy",1805.51,3.77206318436342,244232.387275353,0.0000154445658352048,0.00000772228291760239
1994,"1857","Atlantic herring",3452000,"her.27.1-24a514a",0.291,2500000,0.157,3184000,0.126,1,1,1,750.296,"Vaeroy",1805.51,0.415559038720362,18466.5279014832,0.0000225033661410159,0.0000225033661410159
1994,"1857","Haddock",165211,"had.27.1-2",0.77,50000,0.35,80000,0.348,1,1,1,274.9533,"Vaeroy",1805.51,0.152285669976904,69976.1695760599,0.00000217625044210771,0.00000217625044210771
1994,"1857","Saithe",147869,"pok.27.1-2",0.58,136000,NA,220000,0.477,0.141297619047619,NA,0.141297619047619,686.9561,"Vaeroy",1805.51,0.380477593588515,103707.501604621,0.00000366875672156353,0.000000518386589621876
1994,"1859","Atlantic cod",591364,"cod.27.1-2",0.74,220000,0.4,460000,0.797,1,0,0.5,11533.2066,"Flakstad",994.01,11.6027068138148,244232.387275353,0.0000475068312735018,0.0000237534156367509
1994,"1859","Haddock",165211,"had.27.1-2",0.77,50000,0.35,80000,0.348,1,1,1,563.4799,"Flakstad",994.01,0.566875484150059,69976.1695760599,0.00000810097905593274,0.00000810097905593274
1994,"1859","Saithe",147869,"pok.27.1-2",0.58,136000,NA,220000,0.477,0.141297619047619,NA,0.141297619047619,834.8261,"Flakstad",994.01,0.839856842486494,103707.501604621,0.000008098322970776,0.00000114427375404929
1994,"1860","Atlantic cod",591364,"cod.27.1-2",0.74,220000,0.4,460000,0.797,1,0,0.5,12513.9632,"Vestvagoy",1685.01,7.42664031667468,244232.387275353,0.0000304080896048472,0.0000152040448024236
1994,"1860","Atlantic herring",3452000,"her.27.1-24a514a",0.291,2500000,0.157,3184000,0.126,1,1,1,19.343,"Vestvagoy",1685.01,0.0114794570952101,18466.5279014832,0.000000621635921839326,0.000000621635921839326
1994,"1860","Haddock",165211,"had.27.1-2",0.77,50000,0.35,80000,0.348,1,1,1,454.9078,"Vestvagoy",1685.01,0.269973353273868,69976.1695760599,0.00000385807561216141,0.00000385807561216141
1994,"1860","Saithe",147869,"pok.27.1-2",0.58,136000,NA,220000,0.477,0.141297619047619,NA,0.141297619047619,933.8486,"Vestvagoy",1685.01,0.554209529913769,103707.501604621,0.00000534396761409469,0.000000755089900139165
1994,"1865","Atlantic cod",591364,"cod.27.1-2",0.74,220000,0.4,460000,0.797,1,0,0.5,19135.3739,"Vagan",1608.35,11.8975185127615,244232.387275353,0.0000487139262957292,0.0000243569631478646
1994,"1865","Atlantic herring",3452000,"her.27.1-24a514a",0.291,2500000,0.157,3184000,0.126,1,1,1,17185.5874,"Vagan",1608.35,10.6852285883048,18466.5279014832,0.000578626834741716,0.000578626834741716
1994,"1865","Haddock",165211,"had.27.1-2",0.77,50000,0.35,80000,0.348,1,1,1,1108.0638,"Vagan",1608.35,0.688944446171542,69976.1695760599,0.00000984541523700724,0.00000984541523700724
1994,"1865","Saithe",147869,"pok.27.1-2",0.58,136000,NA,220000,0.477,0.141297619047619,NA,0.141297619047619,1255.5571,"Vagan",1608.35,0.780649174619952,103707.501604621,0.0000075274127960013,0.00000106360550566357
1994,"1865","Shrimp",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.745,"Vagan",1608.35,0.00108496285012591,80462.0896380397,0.0000000134841495542389,0.0000000134841495542389
